fold,subject,selected_epochs,selection_rule,selected_mean_rank,selection_seed,target_result_used
loso_s1,1,8,mean_rank,5.0,20260923,False
loso_s2,2,5,mean_rank,9.25,20260923,False
loso_s3,3,5,mean_rank,5.25,20260923,False
loso_s4,4,9,mean_rank,5.25,20260923,False
loso_s5,5,26,mean_rank,10.0,20260923,False
loso_s6,6,7,mean_rank,2.5,20260923,False
loso_s7,7,8,mean_rank,6.25,20260923,False
loso_s8,8,7,mean_rank,5.0,20260923,False
loso_s9,9,8,mean_rank,5.5,20260923,False
