mode,model,n_subjects,mean_balanced_accuracy,sd_balanced_accuracy,median_balanced_accuracy,min_balanced_accuracy,max_balanced_accuracy,mean_accuracy,mean_macro_f1,mean_cohen_kappa
cross_session,CSP+LDA,9,0.7605666451678608,0.1834535186354868,0.7661767707695448,0.5140845070422535,0.9779411764705883,0.7583460626966874,0.7339154774290678,0.5205085762166638
cross_session,CSP+linearSVM,9,0.7504851155201714,0.16312263465502932,0.7802612778117983,0.528169014084507,0.9774955436720143,0.7486454602904716,0.7256961460733865,0.5006100900165671
cross_subject,CSP+LDA,9,0.6276089308349896,0.13562757346916,0.5892914653784219,0.5057971014492754,0.936284486657621,0.6284540258554827,0.585139644802572,0.25520538481569743
cross_subject,CSP+linearSVM,9,0.6208708491445989,0.13580448814804497,0.5464328760833381,0.5209109730848861,0.9362279511533242,0.621504687823329,0.557289797813247,0.24142936473545992
within_session,CSP+LDA,9,0.7805899043837914,0.16336934362620167,0.8534621578099839,0.5359730848861284,0.9779944586530265,0.7809719992992962,0.780546203744754,0.5615815309510147
within_session,CSP+linearSVM,9,0.782081839870156,0.16418256085217914,0.8537473516949152,0.5287784679089027,0.9699231117141565,0.7822007792134061,0.7818456451542315,0.5641672801657607
