mode,model,subject,n_test,balanced_accuracy,accuracy,macro_f1,cohen_kappa
cross_session,CSP+LDA,1,141,0.9216297786720322,0.9219858156028369,0.921733864863501,0.8438538205980066
cross_session,CSP+LDA,2,142,0.5140845070422535,0.5140845070422535,0.42832137230876943,0.028169014084507005
cross_session,CSP+LDA,3,137,0.9477611940298507,0.948905109489051,0.9486314210723659,0.8975317875841435
cross_session,CSP+LDA,4,116,0.5841510556051145,0.5775862068965517,0.5102955113293701,0.16607981220657275
cross_session,CSP+LDA,5,135,0.5692307692307692,0.5555555555555556,0.49425574425574426,0.13461538461538458
cross_session,CSP+LDA,6,108,0.6564322469982847,0.6574074074074074,0.6559621179509255,0.3134020618556701
cross_session,CSP+LDA,7,140,0.7661767707695448,0.7642857142857142,0.7607581171353115,0.530296868645791
cross_session,CSP+LDA,8,134,0.9779411764705883,0.9776119402985075,0.977610693400167,0.9552438209752839
cross_session,CSP+LDA,9,130,0.9076923076923078,0.9076923076923077,0.9076704545454546,0.8153846153846154
cross_session,CSP+linearSVM,1,141,0.8071428571428572,0.8085106382978723,0.8006493166465937,0.6159588419247453
cross_session,CSP+linearSVM,2,142,0.528169014084507,0.528169014084507,0.44489176731431235,0.05633802816901412
cross_session,CSP+linearSVM,3,137,0.9328358208955223,0.9343065693430657,0.9337986577181208,0.8681706404362237
cross_session,CSP+linearSVM,4,116,0.6011002081474873,0.5948275862068966,0.5369851380042463,0.19964768056371107
cross_session,CSP+linearSVM,5,135,0.5758241758241759,0.562962962962963,0.5110197065504328,0.1476725521669343
cross_session,CSP+linearSVM,6,108,0.6746140651801029,0.6759259259259259,0.6736596736596736,0.35006877579092166
cross_session,CSP+linearSVM,7,140,0.7802612778117983,0.7785714285714286,0.776,0.5585842148087876
cross_session,CSP+linearSVM,8,134,0.9774955436720143,0.9776119402985075,0.9776007132111216,0.955203922442612
cross_session,CSP+linearSVM,9,130,0.8769230769230769,0.8769230769230769,0.8766603415559773,0.7538461538461538
cross_subject,CSP+LDA,1,279,0.5359969167523124,0.5376344086021505,0.4143710236425468,0.07222952594540266
cross_subject,CSP+LDA,2,278,0.5057971014492754,0.5035971223021583,0.45372216210058663,0.011542821807688286
cross_subject,CSP+LDA,3,274,0.720961210571185,0.718978102189781,0.6975067027972529,0.4401634559252773
cross_subject,CSP+LDA,4,245,0.6244334844041589,0.6244897959183674,0.6244334844041589,0.24886696880831782
cross_subject,CSP+LDA,5,264,0.5217241577225507,0.5227272727272727,0.5136842105263157,0.04353326815803105
cross_subject,CSP+LDA,6,221,0.5504587155963303,0.5565610859728507,0.4394927536231884,0.10214741729541488
cross_subject,CSP+LDA,7,273,0.5892914653784219,0.5934065934065934,0.5243827790246889,0.18004708174364792
