fold,subject,seed,stratum,true_label,predicted_label,count,condition,condition_name,fixed_epochs,normalization,model
loso_s3,3,20260926,all,2,2,4,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260926,all,2,3,0,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260926,all,2,4,0,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260926,all,3,1,140,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260926,all,3,2,4,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260926,all,3,3,0,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260926,all,3,4,0,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260926,all,4,1,132,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260926,all,4,2,12,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260926,all,4,3,0,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260926,all,4,4,0,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260926,unflagged,1,1,134,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260926,unflagged,1,2,2,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260926,unflagged,1,3,0,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260926,unflagged,1,4,0,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260926,unflagged,2,1,134,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260926,unflagged,2,2,4,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260926,unflagged,2,3,0,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260926,unflagged,2,4,0,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260926,unflagged,3,1,130,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260926,unflagged,3,2,4,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260926,unflagged,3,3,0,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260926,unflagged,3,4,0,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260926,unflagged,4,1,125,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260926,unflagged,4,2,10,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260926,unflagged,4,3,0,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260926,unflagged,4,4,0,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260926,flagged,1,1,8,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260926,flagged,1,2,0,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260926,flagged,1,3,0,B,SourceNorm_plus_2epochs,2,True,EEGNet
