fold,stage,inner_fold,seed,subject,role,n_trials,n_used_for_fit,n_excluded_from_fit,n_used_for_validation,epochs_trained
loso_s7,full,,20260925,1,train,576,576,0,0,17
loso_s7,full,,20260925,2,train,576,576,0,0,17
loso_s7,full,,20260925,3,train,576,576,0,0,17
loso_s7,full,,20260925,4,train,576,576,0,0,17
loso_s7,full,,20260925,5,train,576,576,0,0,17
loso_s7,full,,20260925,6,train,576,576,0,0,17
loso_s7,full,,20260925,7,test,576,0,0,0,17
loso_s7,full,,20260925,8,train,576,576,0,0,17
loso_s7,full,,20260925,9,train,576,576,0,0,17
