fold,subject,seed,model,stratum,n_train,n_test,n_classes_present,balanced_accuracy,accuracy,macro_f1,macro_precision,macro_recall,cohen_kappa
loso_s1,1,20260924,EEGNet,all,4608,576,4,0.5381944444444444,0.5381944444444444,0.4836246743299551,0.5650833715668199,0.5381944444444444,0.3842592592592593
loso_s1,1,20260924,EEGNet,unflagged,4608,554,4,0.5421762494796292,0.5433212996389891,0.4863011926115697,0.5587982411202186,0.5421762494796292,0.390692720672941
loso_s1,1,20260924,EEGNet,flagged,4608,22,4,0.4220238095238095,0.4090909090909091,0.381845238095238,0.6875,0.4220238095238095,0.2249322493224932
loso_s1,1,20260925,EEGNet,all,4608,576,4,0.5659722222222222,0.5659722222222222,0.5491124860466792,0.5645640376704327,0.5659722222222222,0.4212962962962963
loso_s1,1,20260925,EEGNet,unflagged,4608,554,4,0.5725485413908524,0.5740072202166066,0.5557057600323791,0.5705337120185318,0.5725485413908524,0.4315923101670303
loso_s1,1,20260925,EEGNet,flagged,4608,22,4,0.406547619047619,0.3636363636363636,0.3659090909090909,0.4181818181818182,0.406547619047619,0.1764705882352941
loso_s1,1,20260926,EEGNet,all,4608,576,4,0.6059027777777778,0.6059027777777778,0.5673682194178891,0.6237026983666963,0.6059027777777778,0.4745370370370371
loso_s1,1,20260926,EEGNet,unflagged,4608,554,4,0.6088061599503097,0.6101083032490975,0.5707803071527743,0.6248765647503524,0.6088061599503097,0.4797669767846274
loso_s1,1,20260926,EEGNet,flagged,4608,22,4,0.5363095238095238,0.5,0.4784798534798534,0.6261904761904762,0.5363095238095238,0.3494623655913978
loso_s2,2,20260924,EEGNet,all,4608,576,4,0.2395833333333333,0.2395833333333333,0.1440172697368421,0.1200738916256157,0.2395833333333333,-0.0138888888888888
loso_s2,2,20260924,EEGNet,unflagged,4608,553,4,0.2420548654244306,0.2423146473779385,0.14626545948644,0.123061690624869,0.2420548654244306,-0.0105809029095302
loso_s2,2,20260924,EEGNet,flagged,4608,23,4,0.1666666666666666,0.1739130434782608,0.0833333333333333,0.0555555555555555,0.1666666666666666,-0.0897755610972568
loso_s2,2,20260925,EEGNet,all,4608,576,4,0.2430555555555555,0.2430555555555555,0.1108047823766066,0.1466666666666666,0.2430555555555555,-0.0092592592592593
loso_s2,2,20260925,EEGNet,unflagged,4608,553,4,0.24466011042098,0.244122965641953,0.1119189823861681,0.1536931818181818,0.24466011042098,-0.0072289156626506
loso_s2,2,20260925,EEGNet,flagged,4608,23,4,0.2083333333333333,0.217391304347826,0.0892857142857142,0.0568181818181818,0.2083333333333333,-0.0670103092783505
loso_s2,2,20260926,EEGNet,all,4608,576,4,0.2517361111111111,0.2517361111111111,0.1412584656179453,0.1292776460744666,0.2517361111111111,0.0023148148148147
loso_s2,2,20260926,EEGNet,unflagged,4608,553,4,0.2495600414078675,0.2495479204339963,0.1380179301374953,0.1256756341748049,0.2495600414078675,-0.0005842318441235
loso_s2,2,20260926,EEGNet,flagged,4608,23,4,0.3333333333333333,0.3043478260869565,0.225,0.1907894736842105,0.3333333333333333,0.0776942355889724
loso_s3,3,20260924,EEGNet,all,4608,576,4,0.2517361111111111,0.2517361111111111,0.10370320906628,0.1877177700348432,0.2517361111111111,0.0023148148148147
loso_s3,3,20260924,EEGNet,unflagged,4608,543,4,0.2518115942028985,0.2523020257826888,0.1040145600337624,0.1878465804066543,0.2518115942028985,0.002438947135029
loso_s3,3,20260924,EEGNet,flagged,4608,33,4,0.25,0.2424242424242424,0.0975609756097561,0.0606060606060606,0.25,0.0
loso_s3,3,20260925,EEGNet,all,4608,576,4,0.2517361111111111,0.2517361111111111,0.1071415352727811,0.1255511463844797,0.2517361111111111,0.0023148148148147
loso_s3,3,20260925,EEGNet,unflagged,4608,543,4,0.2499733589087809,0.2504604051565378,0.1037936803167115,0.1128491620111731,0.2499733589087809,-3.62002416367524e-05
loso_s3,3,20260925,EEGNet,flagged,4608,33,4,0.2916666666666667,0.2727272727272727,0.1608187134502924,0.15,0.2916666666666667,0.0469314079422381
loso_s3,3,20260926,EEGNet,all,4608,576,4,0.2795138888888889,0.2795138888888889,0.1653846153846153,0.1461934156378601,0.2795138888888889,0.0393518518518518
loso_s3,3,20260926,EEGNet,unflagged,4608,543,4,0.2823422847399829,0.283609576427256,0.1689454160042395,0.1519607843137255,0.2823422847399829,0.0434989335832959
loso_s3,3,20260926,EEGNet,flagged,4608,33,4,0.21875,0.2121212121212121,0.1,0.0648148148148148,0.21875,-0.0250896057347669
loso_s4,4,20260924,EEGNet,all,4608,576,4,0.3611111111111111,0.3611111111111111,0.3107494449065087,0.3753741906427481,0.3611111111111111,0.1481481481481481
loso_s4,4,20260924,EEGNet,unflagged,4608,490,4,0.3692876110721548,0.3714285714285714,0.3234735437300038,0.3867539944530747,0.3692876110721548,0.1598986890812435
loso_s4,4,20260924,EEGNet,flagged,4608,86,4,0.3201449275362319,0.3023255813953488,0.2389182168593933,0.3209134615384615,0.3201449275362319,0.0867256637168141
loso_s4,4,20260925,EEGNet,all,4608,576,4,0.3576388888888889,0.3576388888888889,0.2860416832175012,0.3661098987185944,0.3576388888888889,0.1435185185185185
loso_s4,4,20260925,EEGNet,unflagged,4608,490,4,0.3580949219641647,0.363265306122449,0.2935634244847014,0.3805034752179976,0.3580949219641647,0.1467131040487593
loso_s4,4,20260925,EEGNet,flagged,4608,86,4,0.3636473429951691,0.3255813953488372,0.2466707021791767,0.2196372732958099,0.3636473429951691,0.1307075636110143
loso_s4,4,20260926,EEGNet,all,4608,576,4,0.3888888888888888,0.3888888888888889,0.3310431674836284,0.3819476638506359,0.3888888888888888,0.1851851851851852
loso_s4,4,20260926,EEGNet,unflagged,4608,490,4,0.3919744650726193,0.3959183673469387,0.3373474815782508,0.4001596906655851,0.3919744650726193,0.1914191419141915
loso_s4,4,20260926,EEGNet,flagged,4608,86,4,0.3816666666666666,0.3488372093023256,0.2973119384305008,0.3019652305366591,0.3816666666666666,0.158924205378973
loso_s5,5,20260924,EEGNet,all,4608,576,4,0.2482638888888889,0.2482638888888889,0.0994436717663421,0.0621739130434782,0.2482638888888889,-0.0023148148148148
loso_s5,5,20260924,EEGNet,unflagged,4608,538,4,0.2481203007518796,0.2453531598513011,0.0985074626865671,0.0614525139664804,0.2481203007518796,-0.0024599342793676
loso_s5,5,20260924,EEGNet,flagged,4608,38,4,0.25,0.2894736842105263,0.1122448979591836,0.0723684210526315,0.25,0.0
loso_s5,5,20260925,EEGNet,all,4608,576,4,0.234375,0.234375,0.1258134565245956,0.1035277010679635,0.234375,-0.0208333333333332
loso_s5,5,20260925,EEGNet,unflagged,4608,538,4,0.2343884520461459,0.2286245353159851,0.1223214285714285,0.0991562667267656,0.2343884520461459,-0.0203736540957535
loso_s5,5,20260925,EEGNet,flagged,4608,38,4,0.2377622377622377,0.3157894736842105,0.1699346405228758,0.1614583333333333,0.2377622377622377,-0.0270270270270269
loso_s5,5,20260926,EEGNet,all,4608,576,4,0.2413194444444444,0.2413194444444444,0.1317928852029681,0.1084668405365126,0.2413194444444444,-0.0115740740740741
loso_s5,5,20260926,EEGNet,unflagged,4608,538,4,0.237243873041382,0.2342007434944238,0.1279279279279279,0.1053059761175919,0.237243873041382,-0.0165468153800998
loso_s5,5,20260926,EEGNet,flagged,4608,38,4,0.2884615384615384,0.3421052631578947,0.1829545454545454,0.1503831417624521,0.2884615384615384,0.0575396825396825
loso_s6,6,20260924,EEGNet,all,4608,576,4,0.2899305555555556,0.2899305555555556,0.2587004529605911,0.4197690326256625,0.2899305555555556,0.0532407407407407
loso_s6,6,20260924,EEGNet,unflagged,4608,434,4,0.3044342097957266,0.304147465437788,0.2677152371986513,0.420384023207734,0.3044342097957266,0.0747379195933781
loso_s6,6,20260924,EEGNet,flagged,4608,142,4,0.2468000614880098,0.2464788732394366,0.2302408860473376,0.4468240093240093,0.2468000614880098,-0.0119888104435859
loso_s6,6,20260925,EEGNet,all,4608,576,4,0.3038194444444444,0.3038194444444444,0.2672138131232656,0.4086632534503165,0.3038194444444444,0.0717592592592593
loso_s6,6,20260925,EEGNet,unflagged,4608,434,4,0.3127181950053153,0.315668202764977,0.272526280948665,0.4794487085079869,0.3127181950053153,0.0874930091960043
loso_s6,6,20260925,EEGNet,flagged,4608,142,4,0.2676457778233244,0.2676056338028169,0.2443344234420702,0.2930134870403857,0.2676457778233244,0.0219219815881847
loso_s6,6,20260926,EEGNet,all,4608,576,4,0.2569444444444445,0.2569444444444444,0.2175348007597978,0.3406176448955575,0.2569444444444445,0.0092592592592593
loso_s6,6,20260926,EEGNet,unflagged,4608,434,4,0.2544491826869131,0.2488479262672811,0.2154469572385741,0.3542173199707446,0.2544491826869131,0.0084727351727136
loso_s6,6,20260926,EEGNet,flagged,4608,142,4,0.2593791632506661,0.2816901408450704,0.2184098639455782,0.3049793956043956,0.2593791632506661,0.0101824642930362
loso_s7,7,20260924,EEGNet,all,4608,576,4,0.2934027777777778,0.2934027777777778,0.2521057308411085,0.4078820127131242,0.2934027777777778,0.0578703703703703
loso_s7,7,20260924,EEGNet,unflagged,4608,548,4,0.2869535832246083,0.2864963503649635,0.2442092529700963,0.4002513497971311,0.2869535832246083,0.0492949622412125
loso_s7,7,20260924,EEGNet,flagged,4608,28,4,0.4265873015873015,0.4285714285714285,0.3801587301587301,0.4444444444444444,0.4265873015873015,0.2354948805460751
loso_s7,7,20260925,EEGNet,all,4608,576,4,0.2777777777777778,0.2777777777777778,0.2210153398706769,0.3974060368398854,0.2777777777777778,0.037037037037037
loso_s7,7,20260925,EEGNet,unflagged,4608,548,4,0.2777345816143023,0.2755474452554745,0.2211624649859943,0.3939513882349248,0.2777345816143023,0.0365229868513704
loso_s7,7,20260925,EEGNet,flagged,4608,28,4,0.2638888888888889,0.3214285714285714,0.1833333333333333,0.1577380952380952,0.2638888888888889,0.0379746835443037
loso_s7,7,20260926,EEGNet,all,4608,576,4,0.2829861111111111,0.2829861111111111,0.230933702271219,0.3778399668325041,0.2829861111111111,0.0439814814814815
loso_s7,7,20260926,EEGNet,unflagged,4608,548,4,0.2780974881577864,0.2773722627737226,0.2270015990326143,0.3711441948780615,0.2780974881577864,0.0375347605678779
loso_s7,7,20260926,EEGNet,flagged,4608,28,4,0.3829365079365079,0.3928571428571428,0.3005952380952381,0.4375,0.3829365079365079,0.1778929188255613
loso_s8,8,20260924,EEGNet,all,4608,576,4,0.2829861111111111,0.2829861111111111,0.2253500681794601,0.4159128261606235,0.2829861111111111,0.0439814814814815
loso_s8,8,20260924,EEGNet,unflagged,4608,535,4,0.2868434767679835,0.2859813084112149,0.2272361273326771,0.4508141564619505,0.2868434767679835,0.0491720906861947
loso_s8,8,20260924,EEGNet,flagged,4608,41,4,0.2395833333333333,0.2439024390243902,0.2026806526806526,0.2507763975155279,0.2395833333333333,-0.020883534136546
loso_s8,8,20260925,EEGNet,all,4608,576,4,0.2864583333333333,0.2864583333333333,0.2142523006245895,0.3770173717945841,0.2864583333333333,0.0486111111111111
loso_s8,8,20260925,EEGNet,unflagged,4608,535,4,0.282926392723768,0.2803738317757009,0.2088678077326234,0.3702243802211446,0.282926392723768,0.0436847676707649
loso_s8,8,20260925,EEGNet,flagged,4608,41,4,0.3331439393939394,0.3658536585365853,0.2810457516339869,0.4964285714285714,0.3331439393939394,0.1190082644628098
loso_s8,8,20260926,EEGNet,all,4608,576,4,0.3211805555555556,0.3211805555555556,0.2862158668318772,0.4095153234788283,0.3211805555555556,0.0949074074074074
loso_s8,8,20260926,EEGNet,unflagged,4608,535,4,0.3167988549772548,0.3158878504672897,0.2824836848657291,0.401592056162405,0.3167988549772548,0.0889719121772831
loso_s8,8,20260926,EEGNet,flagged,4608,41,4,0.3664772727272727,0.3902439024390244,0.3253852808913988,0.5592105263157895,0.3664772727272727,0.1686942416869424
loso_s9,9,20260924,EEGNet,all,4608,576,4,0.4791666666666667,0.4791666666666667,0.4406261492504424,0.5554558234705294,0.4791666666666667,0.3055555555555556
loso_s9,9,20260924,EEGNet,unflagged,4608,501,4,0.4859409631681877,0.4830339321357285,0.4479749786713036,0.5599639040974921,0.4859409631681877,0.3107933692032314
loso_s9,9,20260924,EEGNet,flagged,4608,75,4,0.4492390832851358,0.4533333333333333,0.4008277632091264,0.5404761904761904,0.4492390832851358,0.2745930644019815
loso_s9,9,20260925,EEGNet,all,4608,576,4,0.5052083333333333,0.5052083333333334,0.4940343924756505,0.5284295650860352,0.5052083333333333,0.3402777777777778
loso_s9,9,20260925,EEGNet,unflagged,4608,501,4,0.5064455875162972,0.5049900199600799,0.4965702439666394,0.5277660412770561,0.5064455875162972,0.3391063829787234
loso_s9,9,20260925,EEGNet,flagged,4608,75,4,0.5066512434933488,0.5066666666666667,0.4790064102564103,0.5382183908045977,0.5066512434933488,0.3488972313467855
loso_s9,9,20260926,EEGNet,all,4608,576,4,0.4652777777777778,0.4652777777777778,0.4297125363881038,0.5223066445838723,0.4652777777777778,0.2870370370370371
loso_s9,9,20260926,EEGNet,unflagged,4608,501,4,0.4763622881355932,0.4710578842315369,0.440667759350966,0.5331547387707511,0.4763622881355932,0.2950892786033992
loso_s9,9,20260926,EEGNet,flagged,4608,75,4,0.4239986986697512,0.4266666666666667,0.3726226458963032,0.4629307007355787,0.4239986986697512,0.2411764705882352
