fold,subject,seed,model,stratum,true_label,predicted_label,count
loso_s1,1,20260926,EEGNet,all,2,1,2
loso_s1,1,20260926,EEGNet,all,2,2,142
loso_s1,1,20260926,EEGNet,all,2,3,0
loso_s1,1,20260926,EEGNet,all,2,4,0
loso_s1,1,20260926,EEGNet,all,3,1,40
loso_s1,1,20260926,EEGNet,all,3,2,20
loso_s1,1,20260926,EEGNet,all,3,3,73
loso_s1,1,20260926,EEGNet,all,3,4,11
loso_s1,1,20260926,EEGNet,all,4,1,49
loso_s1,1,20260926,EEGNet,all,4,2,8
loso_s1,1,20260926,EEGNet,all,4,3,58
loso_s1,1,20260926,EEGNet,all,4,4,29
loso_s1,1,20260926,EEGNet,unflagged,1,1,102
loso_s1,1,20260926,EEGNet,unflagged,1,2,35
loso_s1,1,20260926,EEGNet,unflagged,1,3,3
loso_s1,1,20260926,EEGNet,unflagged,1,4,0
loso_s1,1,20260926,EEGNet,unflagged,2,1,1
loso_s1,1,20260926,EEGNet,unflagged,2,2,138
loso_s1,1,20260926,EEGNet,unflagged,2,3,0
loso_s1,1,20260926,EEGNet,unflagged,2,4,0
loso_s1,1,20260926,EEGNet,unflagged,3,1,37
loso_s1,1,20260926,EEGNet,unflagged,3,2,19
loso_s1,1,20260926,EEGNet,unflagged,3,3,70
loso_s1,1,20260926,EEGNet,unflagged,3,4,11
loso_s1,1,20260926,EEGNet,unflagged,4,1,47
loso_s1,1,20260926,EEGNet,unflagged,4,2,7
loso_s1,1,20260926,EEGNet,unflagged,4,3,56
loso_s1,1,20260926,EEGNet,unflagged,4,4,28
loso_s1,1,20260926,EEGNet,flagged,1,1,3
loso_s1,1,20260926,EEGNet,flagged,1,2,1
loso_s1,1,20260926,EEGNet,flagged,1,3,0
loso_s1,1,20260926,EEGNet,flagged,1,4,0
loso_s1,1,20260926,EEGNet,flagged,2,1,1
loso_s1,1,20260926,EEGNet,flagged,2,2,4
loso_s1,1,20260926,EEGNet,flagged,2,3,0
loso_s1,1,20260926,EEGNet,flagged,2,4,0
loso_s1,1,20260926,EEGNet,flagged,3,1,3
loso_s1,1,20260926,EEGNet,flagged,3,2,1
loso_s1,1,20260926,EEGNet,flagged,3,3,3
loso_s1,1,20260926,EEGNet,flagged,3,4,0
loso_s1,1,20260926,EEGNet,flagged,4,1,2
loso_s1,1,20260926,EEGNet,flagged,4,2,1
loso_s1,1,20260926,EEGNet,flagged,4,3,2
loso_s1,1,20260926,EEGNet,flagged,4,4,1
loso_s2,2,20260924,EEGNet,all,1,1,111
loso_s2,2,20260924,EEGNet,all,1,2,33
loso_s2,2,20260924,EEGNet,all,1,3,0
loso_s2,2,20260924,EEGNet,all,1,4,0
loso_s2,2,20260924,EEGNet,all,2,1,117
loso_s2,2,20260924,EEGNet,all,2,2,27
loso_s2,2,20260924,EEGNet,all,2,3,0
loso_s2,2,20260924,EEGNet,all,2,4,0
loso_s2,2,20260924,EEGNet,all,3,1,117
loso_s2,2,20260924,EEGNet,all,3,2,27
loso_s2,2,20260924,EEGNet,all,3,3,0
loso_s2,2,20260924,EEGNet,all,3,4,0
loso_s2,2,20260924,EEGNet,all,4,1,119
loso_s2,2,20260924,EEGNet,all,4,2,25
loso_s2,2,20260924,EEGNet,all,4,3,0
loso_s2,2,20260924,EEGNet,all,4,4,0
loso_s2,2,20260924,EEGNet,unflagged,1,1,107
loso_s2,2,20260924,EEGNet,unflagged,1,2,31
loso_s2,2,20260924,EEGNet,unflagged,1,3,0
loso_s2,2,20260924,EEGNet,unflagged,1,4,0
loso_s2,2,20260924,EEGNet,unflagged,2,1,113
loso_s2,2,20260924,EEGNet,unflagged,2,2,27
loso_s2,2,20260924,EEGNet,unflagged,2,3,0
loso_s2,2,20260924,EEGNet,unflagged,2,4,0
loso_s2,2,20260924,EEGNet,unflagged,3,1,111
loso_s2,2,20260924,EEGNet,unflagged,3,2,24
loso_s2,2,20260924,EEGNet,unflagged,3,3,0
loso_s2,2,20260924,EEGNet,unflagged,3,4,0
loso_s2,2,20260924,EEGNet,unflagged,4,1,115
loso_s2,2,20260924,EEGNet,unflagged,4,2,25
loso_s2,2,20260924,EEGNet,unflagged,4,3,0
loso_s2,2,20260924,EEGNet,unflagged,4,4,0
loso_s2,2,20260924,EEGNet,flagged,1,1,4
loso_s2,2,20260924,EEGNet,flagged,1,2,2
loso_s2,2,20260924,EEGNet,flagged,1,3,0
loso_s2,2,20260924,EEGNet,flagged,1,4,0
loso_s2,2,20260924,EEGNet,flagged,2,1,4
loso_s2,2,20260924,EEGNet,flagged,2,2,0
loso_s2,2,20260924,EEGNet,flagged,2,3,0
loso_s2,2,20260924,EEGNet,flagged,2,4,0
loso_s2,2,20260924,EEGNet,flagged,3,1,6
loso_s2,2,20260924,EEGNet,flagged,3,2,3
loso_s2,2,20260924,EEGNet,flagged,3,3,0
loso_s2,2,20260924,EEGNet,flagged,3,4,0
loso_s2,2,20260924,EEGNet,flagged,4,1,4
loso_s2,2,20260924,EEGNet,flagged,4,2,0
loso_s2,2,20260924,EEGNet,flagged,4,3,0
loso_s2,2,20260924,EEGNet,flagged,4,4,0
loso_s2,2,20260925,EEGNet,all,1,1,136
loso_s2,2,20260925,EEGNet,all,1,2,3
loso_s2,2,20260925,EEGNet,all,1,3,5
loso_s2,2,20260925,EEGNet,all,1,4,0
loso_s2,2,20260925,EEGNet,all,2,1,142
loso_s2,2,20260925,EEGNet,all,2,2,1
loso_s2,2,20260925,EEGNet,all,2,3,1
loso_s2,2,20260925,EEGNet,all,2,4,0
loso_s2,2,20260925,EEGNet,all,3,1,135
loso_s2,2,20260925,EEGNet,all,3,2,6
loso_s2,2,20260925,EEGNet,all,3,3,3
loso_s2,2,20260925,EEGNet,all,3,4,0
loso_s2,2,20260925,EEGNet,all,4,1,137
loso_s2,2,20260925,EEGNet,all,4,2,5
loso_s2,2,20260925,EEGNet,all,4,3,2
loso_s2,2,20260925,EEGNet,all,4,4,0
loso_s2,2,20260925,EEGNet,unflagged,1,1,131
loso_s2,2,20260925,EEGNet,unflagged,1,2,3
loso_s2,2,20260925,EEGNet,unflagged,1,3,4
loso_s2,2,20260925,EEGNet,unflagged,1,4,0
loso_s2,2,20260925,EEGNet,unflagged,2,1,138
loso_s2,2,20260925,EEGNet,unflagged,2,2,1
loso_s2,2,20260925,EEGNet,unflagged,2,3,1
loso_s2,2,20260925,EEGNet,unflagged,2,4,0
loso_s2,2,20260925,EEGNet,unflagged,3,1,126
loso_s2,2,20260925,EEGNet,unflagged,3,2,6
loso_s2,2,20260925,EEGNet,unflagged,3,3,3
loso_s2,2,20260925,EEGNet,unflagged,3,4,0
loso_s2,2,20260925,EEGNet,unflagged,4,1,133
loso_s2,2,20260925,EEGNet,unflagged,4,2,5
loso_s2,2,20260925,EEGNet,unflagged,4,3,2
loso_s2,2,20260925,EEGNet,unflagged,4,4,0
loso_s2,2,20260925,EEGNet,flagged,1,1,5
loso_s2,2,20260925,EEGNet,flagged,1,2,0
loso_s2,2,20260925,EEGNet,flagged,1,3,1
loso_s2,2,20260925,EEGNet,flagged,1,4,0
loso_s2,2,20260925,EEGNet,flagged,2,1,4
loso_s2,2,20260925,EEGNet,flagged,2,2,0
loso_s2,2,20260925,EEGNet,flagged,2,3,0
loso_s2,2,20260925,EEGNet,flagged,2,4,0
loso_s2,2,20260925,EEGNet,flagged,3,1,9
loso_s2,2,20260925,EEGNet,flagged,3,2,0
loso_s2,2,20260925,EEGNet,flagged,3,3,0
loso_s2,2,20260925,EEGNet,flagged,3,4,0
loso_s2,2,20260925,EEGNet,flagged,4,1,4
loso_s2,2,20260925,EEGNet,flagged,4,2,0
loso_s2,2,20260925,EEGNet,flagged,4,3,0
loso_s2,2,20260925,EEGNet,flagged,4,4,0
loso_s2,2,20260926,EEGNet,all,1,1,126
loso_s2,2,20260926,EEGNet,all,1,2,18
loso_s2,2,20260926,EEGNet,all,1,3,0
loso_s2,2,20260926,EEGNet,all,1,4,0
loso_s2,2,20260926,EEGNet,all,2,1,125
loso_s2,2,20260926,EEGNet,all,2,2,19
loso_s2,2,20260926,EEGNet,all,2,3,0
loso_s2,2,20260926,EEGNet,all,2,4,0
loso_s2,2,20260926,EEGNet,all,3,1,121
loso_s2,2,20260926,EEGNet,all,3,2,23
loso_s2,2,20260926,EEGNet,all,3,3,0
loso_s2,2,20260926,EEGNet,all,3,4,0
loso_s2,2,20260926,EEGNet,all,4,1,133
loso_s2,2,20260926,EEGNet,all,4,2,11
loso_s2,2,20260926,EEGNet,all,4,3,0
loso_s2,2,20260926,EEGNet,all,4,4,0
loso_s2,2,20260926,EEGNet,unflagged,1,1,121
loso_s2,2,20260926,EEGNet,unflagged,1,2,17
loso_s2,2,20260926,EEGNet,unflagged,1,3,0
loso_s2,2,20260926,EEGNet,unflagged,1,4,0
loso_s2,2,20260926,EEGNet,unflagged,2,1,123
loso_s2,2,20260926,EEGNet,unflagged,2,2,17
loso_s2,2,20260926,EEGNet,unflagged,2,3,0
loso_s2,2,20260926,EEGNet,unflagged,2,4,0
loso_s2,2,20260926,EEGNet,unflagged,3,1,113
