subject,seed,EEGNet
1,20260924,0.5381944444444444
1,20260925,0.5659722222222222
1,20260926,0.6059027777777778
2,20260924,0.2395833333333333
2,20260925,0.2430555555555555
2,20260926,0.2517361111111111
3,20260924,0.2517361111111111
3,20260925,0.2517361111111111
3,20260926,0.2795138888888889
4,20260924,0.3611111111111111
4,20260925,0.3576388888888889
4,20260926,0.3888888888888888
5,20260924,0.2482638888888889
5,20260925,0.234375
5,20260926,0.2413194444444444
6,20260924,0.2899305555555556
6,20260925,0.3038194444444444
6,20260926,0.2569444444444445
7,20260924,0.2934027777777778
7,20260925,0.2777777777777778
7,20260926,0.2829861111111111
8,20260924,0.2829861111111111
8,20260925,0.2864583333333333
8,20260926,0.3211805555555556
9,20260924,0.4791666666666667
9,20260925,0.5052083333333333
9,20260926,0.4652777777777778
