epoch,train_ce,val_ce
1,1.3951570678640295,1.3831115696165297
2,1.3763958789684154,1.3781588673591614
3,1.3636013512258176,1.3688827885521784
4,1.3564744061893887,1.3604400489065382
5,1.3452164111313996,1.3428620894749959
6,1.3271371567690815,1.3054431676864624
7,1.320826859385879,1.3034198880195618
8,1.3073719673686557,1.2623736990822687
9,1.2767668896251254,1.2255985538164775
10,1.26582079022019,1.216589907805125
11,1.2547057800822787,1.1994704869058397
12,1.24851468095073,1.1961860458056133
13,1.2410296753600791,1.2078237268659804
14,1.2300272915098402,1.190395130051507
15,1.226965637118728,1.1887526048554315
16,1.2173043334925617,1.2027033434973822
17,1.2238627804650202,1.1987306078275044
18,1.223504536681705,1.1983591384357877
19,1.2172015640470717,1.2046841846572027
20,1.2027822777077004,1.202267759376102
21,1.2046663650759943,1.209319492181142
22,1.1997241245375738,1.2003200054168701
23,1.1886971968191642,1.2196041941642761
24,1.211422774526808,1.210196528169844
25,1.1890030812334131,1.2213895850711398
26,1.1996796109058239,1.2056677209006414
27,1.1776039026401661,1.2028961877028148
28,1.1800939462803028,1.2072137130631342
29,1.1877480502481814,1.2310431400934856
30,1.178809971721084,1.2350479430622525
31,1.17587368355857,1.2268949879540338
32,1.175115719989494,1.2209337486161127
33,1.172007472426803,1.219903588294983
34,1.1618505782551236,1.237015359931522
35,1.1697748877384044,1.2336360017458599
36,1.184265668745394,1.2510836985376146
37,1.165408604674869,1.2286957833502028
38,1.1625999521326136,1.2337316473325093
39,1.1739929914474487,1.2367275291019015
40,1.1416343583001032,1.240113033188714
