fold_id,n_source_clean_trials,n_target_clean_trials,n_target_flagged_trials,source_abs_eeg_eog_corr_before,source_abs_eeg_eog_corr_after,target_abs_eeg_eog_corr_before,target_abs_eeg_eog_corr_after,target_correction_rms_ratio,ridge_fraction,ridge_penalty,design_condition_number,coefficient_rms,coefficient_max_abs
loso_s1,2067,279,9,0.5944010365922908,3.053605941647762e-05,0.4476995155048335,0.0404592844954835,0.5895699317165316,0.0001,3.2111621064862844e-09,25.08658813822788,0.39380135250058906,0.9227409968758452
loso_s2,2068,278,10,0.540388941610935,2.7112903201497565e-05,0.8073645250899919,0.19761207852830823,0.739775459463821,0.0001,2.7218457604710597e-09,20.440555066925135,0.38774173287766184,0.942047987454171
loso_s3,2072,274,14,0.5779707996940584,2.935597171543943e-05,0.5865286878342864,0.14599765298299106,0.7070252661339488,0.0001,3.0220897053099343e-09,22.223370595597697,0.3860602955418687,0.9204033548525582
loso_s4,2101,245,43,0.5956818897388874,3.065475331681267e-05,0.39748808817540626,0.1485052219931952,0.6176905777122054,0.0001,3.2445580583372556e-09,23.210197385870288,0.3953524242628051,0.932168555086779
loso_s5,2082,264,24,0.5861620796211877,3.048722871394079e-05,0.5926755888249363,0.16842833595822396,0.8736433111328866,0.0001,3.125220315268196e-09,25.432138325984003,0.41505344588082754,0.9953666999381646
loso_s6,2125,221,67,0.5962232838695831,3.0593744255942604e-05,0.4799344380954415,0.06454162044604003,0.5879595768952525,0.0001,3.1569996651071143e-09,23.465334004033494,0.3846854541362951,0.9050408379827858
loso_s7,2073,273,15,0.5967198597889614,3.0443295755714356e-05,0.4019677844833771,0.13350300204249244,0.6256631607311586,0.0001,3.2140259945711296e-09,24.76454962462284,0.3950537210465545,0.9209909877655145
loso_s8,2080,266,22,0.554133601753119,2.7354943181852196e-05,0.695346124804476,0.11738197950592204,0.6730866657009054,0.0001,2.632722083085277e-09,20.33041689722192,0.36635158306145704,0.8567648736670113
loso_s9,2100,246,42,0.6142052082606098,3.159552548306066e-05,0.4458946452468297,0.06442081829268077,0.5055560814553096,0.0001,3.05091318389802e-09,23.72713343314092,0.37912638520585773,0.9037547069375185
