condition,test_stratum,n_subjects,n_test_trials,mean_balanced_accuracy,sd_balanced_accuracy,median_balanced_accuracy,min_balanced_accuracy,max_balanced_accuracy
source_train_fitted_EOG_regression,all,9,2592,0.6207561728395061,0.1343415496535078,0.5659722222222222,0.5069444444444444,0.9305555555555556
source_train_fitted_EOG_regression,clean,9,2346,0.6256644130611712,0.1358239076202119,0.5670692431561997,0.5025879917184265,0.9363975576662145
source_train_fitted_EOG_regression,flagged,9,246,0.5678032950677879,0.16325303714236047,0.5428571428571428,0.3146853146853147,0.8583333333333334
uncorrected,all,9,2592,0.6246141975308642,0.1361762489009968,0.5902777777777778,0.5,0.9340277777777778
uncorrected,clean,9,2346,0.6284713642509615,0.13646768009332466,0.5855877616747182,0.5057971014492754,0.9400158299412031
uncorrected,flagged,9,246,0.5881651125310545,0.17744785950012115,0.625,0.19930069930069932,0.8583333333333334
