fold,subject,selected_epochs,selection_rule,selected_mean_rank,selection_seed,target_result_used
loso_s1,1,20,mean_rank,9.5,20260923,False
loso_s2,2,15,mean_rank,9.75,20260923,False
loso_s3,3,7,mean_rank,6.5,20260923,False
loso_s4,4,7,mean_rank,4.5,20260923,False
loso_s5,5,10,mean_rank,8.5,20260923,False
loso_s6,6,14,mean_rank,9.5,20260923,False
loso_s7,7,12,mean_rank,10.75,20260923,False
loso_s8,8,7,mean_rank,6.75,20260923,False
loso_s9,9,11,mean_rank,5.5,20260923,False
