fold,stage,inner_fold,seed,subject,role,n_trials,n_used_for_fit,n_excluded_from_fit,n_used_for_validation,epochs_trained
loso_s8,inner,1,20260923,1,validation,576,0,0,576,40
loso_s8,inner,1,20260923,2,validation,576,0,0,576,40
loso_s8,inner,1,20260923,3,train,576,543,33,0,40
loso_s8,inner,1,20260923,4,train,576,490,86,0,40
loso_s8,inner,1,20260923,5,train,576,538,38,0,40
loso_s8,inner,1,20260923,6,train,576,434,142,0,40
loso_s8,inner,1,20260923,7,train,576,548,28,0,40
loso_s8,inner,1,20260923,8,outer_test_excluded,576,0,0,0,40
loso_s8,inner,1,20260923,9,train,576,501,75,0,40
