metric,pearson_r,pearson_p,spearman_rho,spearman_p
target_z_mean_abs,0.5161981181759256,0.15482964770655042,0.2833333333333333,0.46003032896572005
target_z_mean_rms,0.45132521674088166,0.22268561602388204,0.18333333333333335,0.6368198117628943
log_scale_shift_abs_mean,-0.5305707507432076,0.14167697064879875,0.13333333333333333,0.7323675052362973
log_scale_shift_rms,-0.5325564665370434,0.13991332453889987,0.13333333333333333,0.7323675052362973
combined_mismatch,-0.5325414367260659,0.13992662479041187,0.13333333333333333,0.7323675052362973
