subject,n_target_trials,source_mean_abs_uV,target_mean_abs_uV,source_std_mean_uV,target_std_mean_uV,target_z_mean_abs,target_z_mean_rms,target_z_std_mean,target_z_std_min,target_z_std_max,log_scale_shift_abs_mean,log_scale_shift_rms,combined_mismatch,channels_abs_mean_shift_gt_0_5,channels_abs_mean_shift_gt_1,channels_scale_ratio_lt_0_8,channels_scale_ratio_gt_1_25,Q5_BA,Q6_BA,delta_BA,delta_percentage_points,source_subjects
1,576,0.007783277624228552,0.0010922181858950735,8.062121332013954,6.274731686425375,0.0010013138603073108,0.0010186610412395273,0.7796492452698641,0.7205663834318647,0.8407467057800843,0.25002545457931125,0.25444612817464046,0.25444816724311947,0,0,13,0,0.5700231481481481,0.5688657407407407,-0.0011574074074074403,-0.11574074074074403,"2,3,4,5,6,7,8,9"
2,576,0.007817986809422263,0.0008979812994655167,7.854194595315576,8.097770125025487,0.0010742253319979496,0.0010970110252772895,1.0356309163713964,0.8458086240309963,1.1835976854506947,0.07384808934022132,0.08600549022975726,0.08601248620316966,0,0,0,0,0.24479166666666663,0.24710648148148148,0.002314814814814853,0.23148148148148529,"1,3,4,5,6,7,8,9"
3,576,0.005834096099573594,0.015258034450060106,7.864939312268486,8.028132710798449,0.0012007850928881373,0.001249339935848656,1.0208654368580554,0.9388123762419684,1.1007792620701704,0.044780607288697385,0.0512106115295382,0.05122584878266613,0,0,0,0,0.2609953703703704,0.6585648148148148,0.39756944444444436,39.756944444444436,"1,2,4,5,6,7,8,9"
4,576,0.006545508691404404,0.009566733763017943,8.09985501572487,5.87740742521763,0.0003801149342883567,0.0004263190194233338,0.7248377246413574,0.6814102365332642,0.7781911554037226,0.32230769141354826,0.32385697650123535,0.32385725710014285,0,0,22,0,0.36921296296296297,0.37384259259259256,0.004629629629629595,0.46296296296295947,"1,2,3,5,6,7,8,9"
5,576,0.007238250475970718,0.004050648055938983,8.147196708022133,5.316873150921253,0.000464238592118444,0.0005430663326523733,0.6552492715941738,0.562842665315239,0.7553492002017864,0.4256417652231068,0.43240960079571267,0.43240994181603787,0,0,22,0,0.24131944444444442,0.24652777777777776,0.005208333333333343,0.5208333333333343,"1,2,3,4,6,7,8,9"
6,576,0.005920306460059047,0.014568351633634957,7.74529767272941,8.907210635537819,0.001116297547371338,0.0013961549500276108,1.1526420259946957,0.9930474590903627,1.2298566969310611,0.14135666245482945,0.15002801291958695,0.15003450906122975,0,0,0,0,0.2835648148148148,0.2829861111111111,-0.0005787037037037202,-0.057870370370372015,"1,2,3,4,5,7,8,9"
7,576,0.007417090077349715,0.0032427987440999577,8.115347374262624,5.700594311740478,0.0006040781168094307,0.0006496758087579874,0.70127375409544,0.5969881101416674,0.7430586938145296,0.3561730934905979,0.35993945257478316,0.35994003889327325,0,0,22,0,0.28472222222222227,0.2864583333333333,0.0017361111111110494,0.17361111111110494,"1,2,3,4,5,6,8,9"
8,576,0.007038749707607459,0.005620805635452403,7.622300935521334,9.720857351813642,0.00025328171878522215,0.00033857200976923017,1.274865851057365,1.1622325559695974,1.3354205278148705,0.2418628447407303,0.24591552805818653,0.24591576112795724,0,0,0,15,0.296875,0.2528935185185185,-0.04398148148148151,-4.398148148148151,"1,2,3,4,5,6,7,9"
9,576,0.006335537354102579,0.011246504398124036,7.410428016579755,10.906473199947154,0.0006886182330738795,0.0008239177349967952,1.4701754633983604,1.2582913450487336,1.8568440795552799,0.37922078341066107,0.39500496871828744,0.39500582799823253,0,0,0,22,0.48321759259259256,0.49652777777777773,0.013310185185185175,1.3310185185185175,"1,2,3,4,5,6,7,8"
