fold,stage,inner_fold,seed,subject,role,n_trials,n_used_for_fit,n_excluded_from_fit,n_used_for_validation,epochs_trained
loso_s4,inner,1,20260923,1,validation,576,0,0,576,40
loso_s4,inner,1,20260923,2,validation,576,0,0,576,40
loso_s4,inner,1,20260923,3,train,576,576,0,0,40
loso_s4,inner,1,20260923,4,outer_test_excluded,576,0,0,0,40
loso_s4,inner,1,20260923,5,train,576,576,0,0,40
loso_s4,inner,1,20260923,6,train,576,576,0,0,40
loso_s4,inner,1,20260923,7,train,576,576,0,0,40
loso_s4,inner,1,20260923,8,train,576,576,0,0,40
loso_s4,inner,1,20260923,9,train,576,576,0,0,40
