subject,model,stratum,n_trials,n_classes_present,balanced_accuracy,accuracy,macro_f1,cohen_kappa,recall_class_1,recall_class_2,recall_class_3,recall_class_4
4,PSD44_LDA,all,576,4,0.3663194444444444,0.3663194444444444,0.3306589992553377,0.15509259259259256,0.3333333333333333,0.6875,0.0763888888888889,0.3680555555555556
4,PSD44_LDA,unflagged,490,4,0.3708636458226764,0.3693877551020408,0.33330812747761573,0.15998601918478528,0.33884297520661155,0.6693548387096774,0.06349206349206349,0.4117647058823529
4,PSD44_LDA,flagged,86,4,0.3577536231884058,0.3488372093023256,0.31729777649823526,0.13318934485241185,0.30434782608695654,0.8,0.16666666666666666,0.16
4,PSD44_LINEAR_SVM,all,576,4,0.3663194444444444,0.3663194444444444,0.3384498767037882,0.15509259259259256,0.4444444444444444,0.6180555555555556,0.09027777777777778,0.3125
4,PSD44_LINEAR_SVM,unflagged,490,4,0.37085648931215603,0.3693877551020408,0.3426445428104552,0.15966433193841656,0.4462809917355372,0.6048387096774194,0.07936507936507936,0.35294117647058826
4,PSD44_LINEAR_SVM,flagged,86,4,0.35536231884057967,0.3488372093023256,0.3166107087996489,0.1333453302141443,0.43478260869565216,0.7,0.16666666666666666,0.12
