epoch,train_ce,val_ce
1,1.3746661455542952,1.3786663545502558
2,1.3367966281043158,1.370427946249644
3,1.2967692768132244,1.3348391585879855
4,1.2379028642619099,1.2983266711235046
5,1.210528141922421,1.221402605374654
6,1.1815620329644945,1.1858444114526112
7,1.1580056250095367,1.188728392124176
8,1.135299801826477,1.2203633420997195
9,1.1321267717414432,1.4150517847802904
10,1.121105397189105,1.3929916421572368
11,1.1168834313198372,1.2361126177840762
12,1.105060518891723,1.181674944029914
13,1.1061589121818542,1.3025543292363484
14,1.0889907733157829,1.2867709464497037
15,1.0940922145490293,1.253720435831282
16,1.083616280997241,1.234904067383872
17,1.0642729379512645,1.3139401740498013
18,1.0584009113135162,1.2341715428564284
19,1.0761453553482339,1.2218325800365872
20,1.0742364558908675,1.2665333681636386
21,1.0544496575991313,1.2080753313170538
22,1.037463088830312,1.2088160514831543
23,1.045187270199811,1.300096458858914
24,1.0459939727076777,1.2564006646474202
25,1.0315259750242587,1.4262667099634807
26,1.027413980828391,1.2208067642317877
27,1.0176011246663552,1.2612429691685572
28,1.0242343898172732,1.2807449201742809
29,1.019010372735836,1.2241258058283064
30,1.0251911591600489,1.3386816183725994
31,1.0062943895657857,1.2967537177933588
32,1.0098935034539964,1.323526703649097
33,1.0031233286416088,1.2324683732456632
34,1.004155624795843,1.267041951417923
35,0.9974963278682144,1.237742755148146
36,0.992151861941373,1.2830859621365864
37,0.9905403697932208,1.27170710100068
38,0.9857942031489478,1.2445858849419489
39,0.9891222803680985,1.23277281721433
40,0.9635669776686916,1.2446332143412695
