epoch,train_ce,val_ce
1,1.3902187325336315,1.3839017020331488
2,1.3681451678276062,1.3756445911195543
3,1.349685964760957,1.3663305441538494
4,1.3382689025666978,1.343802981906467
5,1.3239262810459844,1.3274023665322199
6,1.319072632877915,1.3134241302808125
7,1.3007225857840643,1.3465630147192214
8,1.2916738854514227,1.3869297636879816
9,1.2715206102088645,1.3138523168034024
10,1.2628406440770183,1.320573952462938
11,1.2319634733376679,1.378300044271681
12,1.2217623745953594,1.340962979528639
13,1.2045646927974842,1.3790207107861836
14,1.1921177550598427,1.3533421556154888
15,1.16289280962061,1.321822722752889
16,1.147401886957663,1.521169947253333
17,1.1508337082686249,1.5678818556997511
18,1.1240454062267586,1.4747090935707092
19,1.125014292973059,1.4285253153906927
20,1.1233152570547882,1.478946136103736
21,1.1101417221404888,1.4780698551072016
22,1.100303879490605,1.4850106769137912
23,1.1060075141765453,1.5881655149989657
24,1.1030877530574799,1.5205093622207642
25,1.0834295937308558,1.6104815072483487
26,1.0808854754324313,1.7058726615375943
27,1.0732274728792686,1.7412048048443265
28,1.077578819460339,1.5413535237312317
29,1.0731489570052535,1.6434424718221028
30,1.0636023183663685,1.6162341435750325
31,1.0579333327434681,1.8159968588087294
32,1.051128868703489,1.9817776679992676
33,1.0300419584468559,1.9295356803470187
34,1.0429189227245472,1.6383267839749653
35,1.0498197707864974,1.7753914727105036
36,1.0406134846033874,1.932749417093065
37,1.0228977059876476,1.78416026963128
38,1.018227227308132,1.759806023703681
39,1.006239535631957,1.8534721732139587
40,0.9973246466230463,1.681733896334966
