condition,mean,std,min,max
BROAD_LOGE_LOGREG,0.353202160494,0.107400999694,0.244791666667,0.559027777778
BROAD_LOGE_MDM,0.294945987654,0.0873310674814,0.25,0.512152777778
MUBETA_LOGE_LDA,0.359953703704,0.107537334486,0.253472222222,0.534722222222
MUBETA_LOGE_SVM,0.35474537037,0.0883286517147,0.25,0.46875
