condition,subject,true_class,predicted_class,count
BROAD_LOGE_MDM,8,4,3,0
BROAD_LOGE_MDM,8,4,4,144
BROAD_LOGE_MDM,9,1,1,0
BROAD_LOGE_MDM,9,1,2,0
BROAD_LOGE_MDM,9,1,3,1
BROAD_LOGE_MDM,9,1,4,143
BROAD_LOGE_MDM,9,2,1,0
BROAD_LOGE_MDM,9,2,2,0
BROAD_LOGE_MDM,9,2,3,0
BROAD_LOGE_MDM,9,2,4,144
BROAD_LOGE_MDM,9,3,1,0
BROAD_LOGE_MDM,9,3,2,0
BROAD_LOGE_MDM,9,3,3,0
BROAD_LOGE_MDM,9,3,4,144
BROAD_LOGE_MDM,9,4,1,0
BROAD_LOGE_MDM,9,4,2,0
BROAD_LOGE_MDM,9,4,3,0
BROAD_LOGE_MDM,9,4,4,144
BROAD_LOGE_LOGREG,1,1,1,101
BROAD_LOGE_LOGREG,1,1,2,43
BROAD_LOGE_LOGREG,1,1,3,0
BROAD_LOGE_LOGREG,1,1,4,0
BROAD_LOGE_LOGREG,1,2,1,36
BROAD_LOGE_LOGREG,1,2,2,108
BROAD_LOGE_LOGREG,1,2,3,0
BROAD_LOGE_LOGREG,1,2,4,0
BROAD_LOGE_LOGREG,1,3,1,49
BROAD_LOGE_LOGREG,1,3,2,78
BROAD_LOGE_LOGREG,1,3,3,17
BROAD_LOGE_LOGREG,1,3,4,0
BROAD_LOGE_LOGREG,1,4,1,64
BROAD_LOGE_LOGREG,1,4,2,65
BROAD_LOGE_LOGREG,1,4,3,14
BROAD_LOGE_LOGREG,1,4,4,1
BROAD_LOGE_LOGREG,2,1,1,86
BROAD_LOGE_LOGREG,2,1,2,18
BROAD_LOGE_LOGREG,2,1,3,40
BROAD_LOGE_LOGREG,2,1,4,0
BROAD_LOGE_LOGREG,2,2,1,88
BROAD_LOGE_LOGREG,2,2,2,18
BROAD_LOGE_LOGREG,2,2,3,38
BROAD_LOGE_LOGREG,2,2,4,0
BROAD_LOGE_LOGREG,2,3,1,84
BROAD_LOGE_LOGREG,2,3,2,13
BROAD_LOGE_LOGREG,2,3,3,47
BROAD_LOGE_LOGREG,2,3,4,0
BROAD_LOGE_LOGREG,2,4,1,96
BROAD_LOGE_LOGREG,2,4,2,17
BROAD_LOGE_LOGREG,2,4,3,31
BROAD_LOGE_LOGREG,2,4,4,0
BROAD_LOGE_LOGREG,3,1,1,26
BROAD_LOGE_LOGREG,3,1,2,1
BROAD_LOGE_LOGREG,3,1,3,3
BROAD_LOGE_LOGREG,3,1,4,114
BROAD_LOGE_LOGREG,3,2,1,7
BROAD_LOGE_LOGREG,3,2,2,28
BROAD_LOGE_LOGREG,3,2,3,4
BROAD_LOGE_LOGREG,3,2,4,105
BROAD_LOGE_LOGREG,3,3,1,1
BROAD_LOGE_LOGREG,3,3,2,0
BROAD_LOGE_LOGREG,3,3,3,33
BROAD_LOGE_LOGREG,3,3,4,110
BROAD_LOGE_LOGREG,3,4,1,0
BROAD_LOGE_LOGREG,3,4,2,0
BROAD_LOGE_LOGREG,3,4,3,2
BROAD_LOGE_LOGREG,3,4,4,142
BROAD_LOGE_LOGREG,4,1,1,36
BROAD_LOGE_LOGREG,4,1,2,57
BROAD_LOGE_LOGREG,4,1,3,11
BROAD_LOGE_LOGREG,4,1,4,40
