subject,BroadCSP_LDA,BroadCSP_SVM,FBCSP_LDA,FBCSP_MI8_LDA
1,34.54861111111111,31.944444444444443,48.26388888888888,35.06944444444445
2,29.6875,29.34027777777778,28.47222222222222,26.90972222222222
3,56.94444444444444,53.47222222222222,46.18055555555556,35.59027777777778
4,39.0625,36.97916666666666,39.40972222222222,30.90277777777778
5,26.38888888888888,26.73611111111111,28.125,25.694444444444443
6,23.95833333333333,25.17361111111111,36.11111111111111,26.90972222222222
7,26.90972222222222,26.21527777777778,31.25,32.63888888888889
8,58.333333333333336,54.513888888888886,45.65972222222222,37.67361111111111
9,55.55555555555556,53.125,39.58333333333333,30.90277777777778
