condition,condition_name,source_experiment,normalization,fixed_epochs,BA_mean,BA_seed_std,macroF1_mean,kappa_mean,entropy_mean,dominant_share_mean
A,Raw_plus_2epochs,Q5-E001,False,2,0.2609953703703704,0.01603750747748962,0.12540978657455878,0.0146604938271604,0.13043488967481107,0.9415509259259259
B,SourceNorm_plus_2epochs,Q7-E001,True,2,0.2569444444444444,0.006014065304058637,0.1171566136156904,0.009259259259259264,0.08269349440805755,0.9751157407407408
C,Raw_plus_16epochs,Q7-E001,False,16,0.6770833333333334,0.05390338436201393,0.6715320154151133,0.5694444444444445,0.9561033608809509,0.36689814814814814
D,SourceNorm_plus_16epochs,Q6-E001,True,16,0.6585648148148148,0.09716536862790526,0.6501925771569642,0.5447530864197531,0.9036972861846048,0.43865740740740744
