condition,subject,seed,true_class,predicted_class,n_trials
Q5-E001,4,20260924,1,3,32
Q5-E001,4,20260924,1,4,0
Q5-E001,4,20260924,2,1,12
Q5-E001,4,20260924,2,2,124
Q5-E001,4,20260924,2,3,8
Q5-E001,4,20260924,2,4,0
Q5-E001,4,20260924,3,1,43
Q5-E001,4,20260924,3,2,56
Q5-E001,4,20260924,3,3,27
Q5-E001,4,20260924,3,4,18
Q5-E001,4,20260924,4,1,17
Q5-E001,4,20260924,4,2,89
Q5-E001,4,20260924,4,3,22
Q5-E001,4,20260924,4,4,16
Q5-E001,4,20260925,1,1,15
Q5-E001,4,20260925,1,2,78
Q5-E001,4,20260925,1,3,51
Q5-E001,4,20260925,1,4,0
Q5-E001,4,20260925,2,1,5
Q5-E001,4,20260925,2,2,112
Q5-E001,4,20260925,2,3,27
Q5-E001,4,20260925,2,4,0
Q5-E001,4,20260925,3,1,20
Q5-E001,4,20260925,3,2,43
Q5-E001,4,20260925,3,3,73
Q5-E001,4,20260925,3,4,8
Q5-E001,4,20260925,4,1,6
Q5-E001,4,20260925,4,2,61
Q5-E001,4,20260925,4,3,71
Q5-E001,4,20260925,4,4,6
Q5-E001,4,20260926,1,1,2
Q5-E001,4,20260926,1,2,64
Q5-E001,4,20260926,1,3,64
Q5-E001,4,20260926,1,4,14
Q5-E001,4,20260926,2,1,0
Q5-E001,4,20260926,2,2,98
Q5-E001,4,20260926,2,3,42
Q5-E001,4,20260926,2,4,4
Q5-E001,4,20260926,3,1,3
Q5-E001,4,20260926,3,2,17
Q5-E001,4,20260926,3,3,84
Q5-E001,4,20260926,3,4,40
Q5-E001,4,20260926,4,1,1
Q5-E001,4,20260926,4,2,32
Q5-E001,4,20260926,4,3,71
Q5-E001,4,20260926,4,4,40
Q5-E001,5,20260924,1,1,143
Q5-E001,5,20260924,1,2,1
Q5-E001,5,20260924,1,3,0
Q5-E001,5,20260924,1,4,0
Q5-E001,5,20260924,2,1,144
Q5-E001,5,20260924,2,2,0
Q5-E001,5,20260924,2,3,0
Q5-E001,5,20260924,2,4,0
Q5-E001,5,20260924,3,1,144
Q5-E001,5,20260924,3,2,0
Q5-E001,5,20260924,3,3,0
Q5-E001,5,20260924,3,4,0
Q5-E001,5,20260924,4,1,144
Q5-E001,5,20260924,4,2,0
Q5-E001,5,20260924,4,3,0
Q5-E001,5,20260924,4,4,0
Q5-E001,5,20260925,1,1,14
Q5-E001,5,20260925,1,2,130
Q5-E001,5,20260925,1,3,0
Q5-E001,5,20260925,1,4,0
Q5-E001,5,20260925,2,1,23
Q5-E001,5,20260925,2,2,121
Q5-E001,5,20260925,2,3,0
Q5-E001,5,20260925,2,4,0
Q5-E001,5,20260925,3,1,21
Q5-E001,5,20260925,3,2,123
Q5-E001,5,20260925,3,3,0
Q5-E001,5,20260925,3,4,0
Q5-E001,5,20260925,4,1,25
Q5-E001,5,20260925,4,2,119
Q5-E001,5,20260925,4,3,0
Q5-E001,5,20260925,4,4,0
Q5-E001,5,20260926,1,1,123
Q5-E001,5,20260926,1,2,21
Q5-E001,5,20260926,1,3,0
Q5-E001,5,20260926,1,4,0
Q5-E001,5,20260926,2,1,128
Q5-E001,5,20260926,2,2,16
Q5-E001,5,20260926,2,3,0
Q5-E001,5,20260926,2,4,0
Q5-E001,5,20260926,3,1,120
Q5-E001,5,20260926,3,2,24
Q5-E001,5,20260926,3,3,0
Q5-E001,5,20260926,3,4,0
Q5-E001,5,20260926,4,1,117
Q5-E001,5,20260926,4,2,27
Q5-E001,5,20260926,4,3,0
Q5-E001,5,20260926,4,4,0
Q5-E001,6,20260924,1,1,6
Q5-E001,6,20260924,1,2,16
Q5-E001,6,20260924,1,3,65
Q5-E001,6,20260924,1,4,57
Q5-E001,6,20260924,2,1,2
Q5-E001,6,20260924,2,2,34
Q5-E001,6,20260924,2,3,45
Q5-E001,6,20260924,2,4,63
Q5-E001,6,20260924,3,1,1
Q5-E001,6,20260924,3,2,9
Q5-E001,6,20260924,3,3,46
Q5-E001,6,20260924,3,4,88
Q5-E001,6,20260924,4,1,0
Q5-E001,6,20260924,4,2,7
Q5-E001,6,20260924,4,3,56
Q5-E001,6,20260924,4,4,81
Q5-E001,6,20260925,1,1,20
Q5-E001,6,20260925,1,2,7
Q5-E001,6,20260925,1,3,48
Q5-E001,6,20260925,1,4,69
Q5-E001,6,20260925,2,1,7
Q5-E001,6,20260925,2,2,24
Q5-E001,6,20260925,2,3,34
Q5-E001,6,20260925,2,4,79
Q5-E001,6,20260925,3,1,5
Q5-E001,6,20260925,3,2,4
Q5-E001,6,20260925,3,3,22
