condition,subject,seed,balanced_accuracy,accuracy,n_trials,n_classes_present,zero_recall_count,zero_recall_classes,dominant_prediction_share,prediction_entropy_bits,recall_class_1,recall_class_2,recall_class_3,recall_class_4
Q5-E001,1,20260924,0.5381944444444444,0.5381944444444444,576,4,0,,0.4652777777777778,1.6256885970057806,0.8958333333333334,0.5555555555555556,0.6458333333333334,0.05555555555555555
Q5-E001,1,20260925,0.5659722222222222,0.5659722222222222,576,4,0,,0.3958333333333333,1.9054910571074573,0.8125,0.75,0.4236111111111111,0.2777777777777778
Q5-E001,1,20260926,0.6059027777777778,0.6059027777777778,576,4,0,,0.3576388888888889,1.8163914712979377,0.7291666666666666,0.9861111111111112,0.5069444444444444,0.2013888888888889
Q5-E001,2,20260924,0.23958333333333334,0.23958333333333334,576,4,2,3;4,0.8055555555555556,0.710676853856123,0.7708333333333334,0.1875,0.0,0.0
Q5-E001,2,20260925,0.24305555555555555,0.24305555555555555,576,4,1,4,0.9548611111111112,0.3097420129601072,0.9444444444444444,0.006944444444444444,0.020833333333333332,0.0
Q5-E001,2,20260926,0.2517361111111111,0.2517361111111111,576,4,2,3;4,0.8767361111111112,0.5386706052745922,0.875,0.13194444444444445,0.0,0.0
Q5-E001,3,20260924,0.2517361111111111,0.2517361111111111,576,4,2,3;4,0.9965277777777778,0.03336844603980402,1.0,0.006944444444444444,0.0,0.0
Q5-E001,3,20260925,0.2517361111111111,0.2517361111111111,576,4,2,3;4,0.984375,0.12397848678563919,0.9930555555555556,0.013888888888888888,0.0,0.0
Q5-E001,3,20260926,0.2795138888888889,0.2795138888888889,576,4,2,3;4,0.84375,0.6252624052234231,0.9236111111111112,0.19444444444444445,0.0,0.0
Q5-E001,4,20260924,0.3611111111111111,0.3611111111111111,576,4,0,,0.5902777777777778,1.5671695274870072,0.2847222222222222,0.8611111111111112,0.1875,0.1111111111111111
Q5-E001,4,20260925,0.3576388888888889,0.3576388888888889,576,4,0,,0.5104166666666666,1.4469201219300838,0.10416666666666667,0.7777777777777778,0.5069444444444444,0.041666666666666664
Q5-E001,4,20260926,0.3888888888888889,0.3888888888888889,576,4,0,,0.453125,1.5515452555229143,0.013888888888888888,0.6805555555555556,0.5833333333333334,0.2777777777777778
Q5-E001,5,20260924,0.2482638888888889,0.2482638888888889,576,4,3,2;3;4,0.9982638888888888,0.018422512113754966,0.9930555555555556,0.0,0.0,0.0
Q5-E001,5,20260925,0.234375,0.234375,576,4,2,3;4,0.8559027777777778,0.5948692998171298,0.09722222222222222,0.8402777777777778,0.0,0.0
Q5-E001,5,20260926,0.24131944444444442,0.24131944444444445,576,4,2,3;4,0.8472222222222222,0.616748259826391,0.8541666666666666,0.1111111111111111,0.0,0.0
Q5-E001,6,20260924,0.2899305555555555,0.2899305555555556,576,4,0,,0.5017361111111112,1.4818486203646506,0.041666666666666664,0.2361111111111111,0.3194444444444444,0.5625
Q5-E001,6,20260925,0.3038194444444444,0.3038194444444444,576,4,0,,0.6423611111111112,1.4092295611097274,0.1388888888888889,0.16666666666666666,0.1527777777777778,0.7569444444444444
Q5-E001,6,20260926,0.2569444444444445,0.2569444444444444,576,4,0,,0.7152777777777778,1.2433943844699524,0.04861111111111111,0.2013888888888889,0.6458333333333334,0.13194444444444445
