condition,subject,seed,dimension,stratum,n_trials,n_classes_present,balanced_accuracy_observed_classes,accuracy,recall_class_1,recall_class_2,recall_class_3,recall_class_4
Q5-E001,2,20260925,session,0train,288,4,0.2465277777777778,0.2465277777777778,0.9861111111111112,0.0,0.0,0.0
Q5-E001,2,20260925,session,1test,288,4,0.23958333333333334,0.23958333333333334,0.9027777777777778,0.013888888888888888,0.041666666666666664,0.0
Q5-E001,2,20260926,artifact,False,553,4,0.2495600414078675,0.24954792043399637,0.8768115942028986,0.12142857142857143,0.0,0.0
Q5-E001,2,20260926,artifact,True,23,4,0.33333333333333337,0.30434782608695654,0.8333333333333334,0.5,0.0,0.0
Q5-E001,2,20260926,session,0train,288,4,0.2604166666666667,0.2604166666666667,0.9861111111111112,0.05555555555555555,0.0,0.0
Q5-E001,2,20260926,session,1test,288,4,0.24305555555555555,0.24305555555555555,0.7638888888888888,0.20833333333333334,0.0,0.0
Q5-E001,3,20260924,artifact,False,543,4,0.25181159420289856,0.2523020257826888,1.0,0.007246376811594203,0.0,0.0
Q5-E001,3,20260924,artifact,True,33,4,0.25,0.24242424242424243,1.0,0.0,0.0,0.0
Q5-E001,3,20260924,session,0train,288,4,0.25,0.25,1.0,0.0,0.0,0.0
Q5-E001,3,20260924,session,1test,288,4,0.2534722222222222,0.2534722222222222,1.0,0.013888888888888888,0.0,0.0
Q5-E001,3,20260925,artifact,False,543,4,0.24997335890878092,0.2504604051565378,0.9926470588235294,0.007246376811594203,0.0,0.0
Q5-E001,3,20260925,artifact,True,33,4,0.2916666666666667,0.2727272727272727,1.0,0.16666666666666666,0.0,0.0
Q5-E001,3,20260925,session,0train,288,4,0.25,0.25,0.9861111111111112,0.013888888888888888,0.0,0.0
Q5-E001,3,20260925,session,1test,288,4,0.2534722222222222,0.2534722222222222,1.0,0.013888888888888888,0.0,0.0
Q5-E001,3,20260926,artifact,False,543,4,0.28234228473998296,0.283609576427256,0.9264705882352942,0.2028985507246377,0.0,0.0
Q5-E001,3,20260926,artifact,True,33,4,0.21875,0.21212121212121213,0.875,0.0,0.0,0.0
Q5-E001,3,20260926,session,0train,288,4,0.2881944444444445,0.2881944444444444,0.9583333333333334,0.19444444444444445,0.0,0.0
Q5-E001,3,20260926,session,1test,288,4,0.2708333333333333,0.2708333333333333,0.8888888888888888,0.19444444444444445,0.0,0.0
Q5-E001,4,20260924,artifact,False,490,4,0.3692876110721548,0.37142857142857144,0.30578512396694213,0.8548387096774194,0.19047619047619047,0.12605042016806722
Q5-E001,4,20260924,artifact,True,86,4,0.32014492753623186,0.3023255813953488,0.17391304347826086,0.9,0.16666666666666666,0.04
Q5-E001,4,20260924,session,0train,288,4,0.375,0.375,0.3472222222222222,0.8611111111111112,0.19444444444444445,0.09722222222222222
Q5-E001,4,20260924,session,1test,288,4,0.3472222222222222,0.3472222222222222,0.2222222222222222,0.8611111111111112,0.18055555555555555,0.125
Q5-E001,4,20260925,artifact,False,490,4,0.35809492196416465,0.363265306122449,0.11570247933884298,0.7741935483870968,0.49206349206349204,0.05042016806722689
Q5-E001,4,20260925,artifact,True,86,4,0.3636473429951691,0.32558139534883723,0.043478260869565216,0.8,0.6111111111111112,0.0
Q5-E001,4,20260925,session,0train,288,4,0.3125,0.3125,0.125,0.7222222222222222,0.3888888888888889,0.013888888888888888
