epoch,train_ce,val_ce
1,1.3691597084204357,
2,1.3229666418499417,
3,1.2711392293373744,
4,1.218107647365994,
5,1.2063176665041182,
6,1.1860014465120103,
7,1.1556239657931857,
8,1.1435071014695697,
9,1.138852819800377,
10,1.1288562988241513,
11,1.1074862960312102,
12,1.0982982284492917,
13,1.0852627133329709,
14,1.0818169174922838,
15,1.0718122033609285,
16,1.0618935252229373,
17,1.056234150297112,
18,1.0530573378006618,
19,1.0509745213720534,
20,1.0456748803456624,
21,1.033782074848811,
22,1.0217487588524818,
23,1.028942401210467,
24,1.0311079323291779,
25,1.0126000088122156,
26,1.0164824144707785,
27,1.0038738490806685,
28,1.0197736066248682,
29,1.005651507112715,
30,1.0041089529792468,
31,0.9950068286723561,
32,1.0014002016848988,
33,0.9922562994890742,
34,0.9941154817740122,
