fold,stage,inner_fold,seed,epoch,train_ce,val_ce
loso_s5,inner,1.0,20260923,1,1.3759809401300218,1.3855198687977262
loso_s5,inner,1.0,20260923,2,1.3166543753058821,1.3995961944262187
loso_s5,inner,1.0,20260923,3,1.2679453712922555,1.476366102695465
loso_s5,inner,1.0,20260923,4,1.1961114141676161,1.5305439564916823
loso_s5,inner,1.0,20260923,5,1.127267246996915,1.6525942616992526
loso_s5,inner,1.0,20260923,6,1.0718237382394296,1.5508674780527751
loso_s5,inner,1.0,20260923,7,1.0435697646052748,1.601872404416402
loso_s5,inner,1.0,20260923,8,1.0025147243782326,1.5693552758958604
loso_s5,inner,1.0,20260923,9,0.9790382661201336,1.5025513768196106
loso_s5,inner,1.0,20260923,10,0.9640805114198614,1.4202616380320654
loso_s5,inner,1.0,20260923,11,0.9580156979737459,1.4664310150676303
loso_s5,inner,1.0,20260923,12,0.9374701789131871,1.2470630043082767
loso_s5,inner,1.0,20260923,13,0.9190742903285556,1.2678088115321264
loso_s5,inner,1.0,20260923,14,0.9152514625478674,1.426918043030633
loso_s5,inner,1.0,20260923,15,0.9153328074349297,1.409929656320148
loso_s5,inner,1.0,20260923,16,0.9037637191790121,1.247862501276864
loso_s5,inner,1.0,20260923,17,0.8923829562134213,1.2781331174903445
loso_s5,inner,1.0,20260923,18,0.8862363276658235,1.4115094774299197
loso_s5,inner,1.0,20260923,19,0.879669976455194,1.1896445486280653
loso_s5,inner,1.0,20260923,20,0.8722971578439077,1.6542400022347767
loso_s5,inner,1.0,20260923,21,0.8693082001474168,1.2979432510005102
loso_s5,inner,1.0,20260923,22,0.8654976752069261,1.4360485540495977
loso_s5,inner,1.0,20260923,23,0.8600654348179146,1.473233375284407
loso_s5,inner,1.0,20260923,24,0.8607912847289333,1.503619392712911
loso_s5,inner,1.0,20260923,25,0.8575778713932743,1.619016855955124
loso_s5,inner,1.0,20260923,26,0.853952662812339,1.448700659804874
loso_s5,inner,1.0,20260923,27,0.8384876659622899,1.7452186908986833
loso_s5,inner,1.0,20260923,28,0.830397183144534,1.4897281659973993
loso_s5,inner,1.0,20260923,29,0.8283309793030774,1.4193438953823514
loso_s5,inner,1.0,20260923,30,0.8499512396476887,1.500376409954495
loso_s5,inner,1.0,20260923,31,0.8425568883065824,1.6274694667922125
loso_s5,inner,1.0,20260923,32,0.8199836004663397,1.4722591837247212
loso_s5,inner,1.0,20260923,33,0.8256477614243826,1.397575471136305
loso_s5,inner,1.0,20260923,34,0.8266410695181953,1.8844318158096738
loso_s5,inner,1.0,20260923,35,0.8173482925803573,1.4365537299050226
loso_s5,inner,1.0,20260923,36,0.8119592401716444,1.4276490774419572
loso_s5,inner,1.0,20260923,37,0.7965288371951492,1.4740670786963568
loso_s5,inner,1.0,20260923,38,0.8265650393786254,1.6379618909623888
loso_s5,inner,1.0,20260923,39,0.7968034777376387,1.551743060350418
loso_s5,inner,1.0,20260923,40,0.8130461937851376,1.6013761791918013
loso_s5,inner,2.0,20260923,1,1.3834177652994792,1.3783631788359747
loso_s5,inner,2.0,20260923,2,1.3333104252815247,1.3882447216245863
loso_s5,inner,2.0,20260923,3,1.3022359123936407,1.4079743954870436
loso_s5,inner,2.0,20260923,4,1.2497005815859195,1.4083660377396479
loso_s5,inner,2.0,20260923,5,1.184222247865465,1.3896173901028104
loso_s5,inner,2.0,20260923,6,1.1463217967086368,1.3304064472516377
loso_s5,inner,2.0,20260923,7,1.1147915731977533,1.215652796957228
loso_s5,inner,2.0,20260923,8,1.081446799967024,1.267656875981225
loso_s5,inner,2.0,20260923,9,1.066020233763589,1.203826818201277
loso_s5,inner,2.0,20260923,10,1.0285438784846552,1.1359095606538985
loso_s5,inner,2.0,20260923,11,1.0213839279280768,1.1369102696577709
loso_s5,inner,2.0,20260923,12,0.9988336088480773,1.106129037009345
loso_s5,inner,2.0,20260923,13,0.9821355077955458,1.065374665790134
loso_s5,inner,2.0,20260923,14,0.9685491389698453,1.0683262480629816
loso_s5,inner,2.0,20260923,15,0.9615176584985521,1.0621442430549197
loso_s5,inner,2.0,20260923,16,0.9612999050705521,1.0346649984518688
loso_s5,inner,2.0,20260923,17,0.9577611894519241,1.0106809304820166
loso_s5,inner,2.0,20260923,18,0.942785483819467,1.0129546026388805
loso_s5,inner,2.0,20260923,19,0.9464532655698282,1.0471873217158847
loso_s5,inner,2.0,20260923,20,0.9368935481265739,1.0273243420653873
loso_s5,inner,2.0,20260923,21,0.9205821763586115,1.045596847931544
loso_s5,inner,2.0,20260923,22,0.9213388639467733,1.1400662793053522
loso_s5,inner,2.0,20260923,23,0.9176165251820175,1.0401489237944286
loso_s5,inner,2.0,20260923,24,0.9141994516054789,1.019864900244607
loso_s5,inner,2.0,20260923,25,0.9163922435707517,1.050934417380227
loso_s5,inner,2.0,20260923,26,0.9025659461816152,1.0447319481107924
loso_s5,inner,2.0,20260923,27,0.8915105296505822,1.0165807339880202
loso_s5,inner,2.0,20260923,28,0.886834113686173,1.0044709609614477
loso_s5,inner,2.0,20260923,29,0.884167915141141,1.024259736140569
loso_s5,inner,2.0,20260923,30,0.9088983745486648,0.9901747703552246
loso_s5,inner,2.0,20260923,31,0.8868597745895386,1.0465670790937212
loso_s5,inner,2.0,20260923,32,0.8877819081147512,1.0254189670085907
loso_s5,inner,2.0,20260923,33,0.8782338698705038,0.9920902980698479
loso_s5,inner,2.0,20260923,34,0.876921291704531,1.0351889861954584
loso_s5,inner,2.0,20260923,35,0.8675262607910015,1.0300865670045216
loso_s5,inner,2.0,20260923,36,0.8797575058760466,0.9857748481962416
