fold,subject,selected_epochs,selection_rule,selected_mean_rank,selection_seed,target_result_used
loso_s1,1,5,mean_rank,11.25,20260923,False
loso_s2,2,13,mean_rank,10.25,20260923,False
loso_s3,3,10,mean_rank,7.25,20260923,False
loso_s4,4,10,mean_rank,7.0,20260923,False
loso_s5,5,13,mean_rank,11.0,20260923,False
loso_s6,6,21,mean_rank,10.0,20260923,False
loso_s7,7,16,mean_rank,6.75,20260923,False
loso_s8,8,9,mean_rank,5.75,20260923,False
loso_s9,9,9,mean_rank,7.75,20260923,False
