fold,subject,seed,stratum,true_label,predicted_label,count
loso_s6,6,20260925,all,1,1,20
loso_s6,6,20260925,all,1,2,7
loso_s6,6,20260925,all,1,3,48
loso_s6,6,20260925,all,1,4,69
loso_s6,6,20260925,all,2,1,7
loso_s6,6,20260925,all,2,2,24
loso_s6,6,20260925,all,2,3,34
loso_s6,6,20260925,all,2,4,79
loso_s6,6,20260925,all,3,1,5
loso_s6,6,20260925,all,3,2,4
loso_s6,6,20260925,all,3,3,22
loso_s6,6,20260925,all,3,4,113
loso_s6,6,20260925,all,4,1,5
loso_s6,6,20260925,all,4,2,3
loso_s6,6,20260925,all,4,3,27
loso_s6,6,20260925,all,4,4,109
loso_s6,6,20260925,unflagged,1,1,15
loso_s6,6,20260925,unflagged,1,2,3
loso_s6,6,20260925,unflagged,1,3,38
loso_s6,6,20260925,unflagged,1,4,53
loso_s6,6,20260925,unflagged,2,1,2
loso_s6,6,20260925,unflagged,2,2,20
loso_s6,6,20260925,unflagged,2,3,29
loso_s6,6,20260925,unflagged,2,4,61
loso_s6,6,20260925,unflagged,3,1,2
loso_s6,6,20260925,unflagged,3,2,2
loso_s6,6,20260925,unflagged,3,3,12
loso_s6,6,20260925,unflagged,3,4,87
loso_s6,6,20260925,unflagged,4,1,2
loso_s6,6,20260925,unflagged,4,2,1
loso_s6,6,20260925,unflagged,4,3,17
loso_s6,6,20260925,unflagged,4,4,90
loso_s6,6,20260925,flagged,1,1,5
loso_s6,6,20260925,flagged,1,2,4
loso_s6,6,20260925,flagged,1,3,10
loso_s6,6,20260925,flagged,1,4,16
loso_s6,6,20260925,flagged,2,1,5
loso_s6,6,20260925,flagged,2,2,4
loso_s6,6,20260925,flagged,2,3,5
loso_s6,6,20260925,flagged,2,4,18
loso_s6,6,20260925,flagged,3,1,3
loso_s6,6,20260925,flagged,3,2,2
loso_s6,6,20260925,flagged,3,3,10
loso_s6,6,20260925,flagged,3,4,26
loso_s6,6,20260925,flagged,4,1,3
loso_s6,6,20260925,flagged,4,2,2
loso_s6,6,20260925,flagged,4,3,10
loso_s6,6,20260925,flagged,4,4,19
