epoch,train_ce,val_ce
1,1.3820484126055683,1.3857184449831645
2,1.3562189473046198,1.3861829969618056
3,1.3291265545067963,1.3849534723493788
4,1.3028995328479342,1.3883270223935444
5,1.280149949921502,1.3894444306691487
6,1.256376827204669,1.398667984538608
7,1.2354099088244967,1.3726708094278972
8,1.2191185885005527,1.386798659960429
9,1.2132200554565147,1.3987733324368794
10,1.2012709335044578,1.3873326381047566
11,1.1940886621122007,1.4049004448784723
12,1.1786305507024128,1.39839987622367
13,1.1756184763378568,1.401854932308197
14,1.1648146598427385,1.4097992181777954
15,1.1644113372873377,1.3998022807968988
16,1.1567179825570848,1.3876948555310566
17,1.1518284501852813,1.3861567046907213
18,1.1438332089671381,1.4043617977036371
19,1.149949727235017,1.4140127764807806
20,1.138585799270206,1.401178816954295
21,1.1349844181979145,1.4051336182488336
22,1.1365438501040142,1.3904917173915439
23,1.1279128480840612,1.391484836737315
24,1.1345093371691528,1.4011308087242975
25,1.1296573987713567,1.39192048046324
26,1.1148224859325975,1.4166031678517659
27,1.1017193363772497,1.4151268667644925
28,1.1102104087670643,1.4223238163524203
29,1.1109049552016788,1.4245527519120111
30,1.1032533215151892,1.4295561843448215
31,1.1191798172615193,1.4133626752429538
32,1.1141934990882874,1.4152316914664373
33,1.1060496833589342,1.4218583305676777
34,1.1123564541339874,1.411496341228485
35,1.0929147777733978,1.4255988266732957
36,1.101641094243085,1.4488615857230291
37,1.0934176169059895,1.424245450231764
38,1.0963999375149056,1.4300467901759677
39,1.0885459317101374,1.4192209707366095
40,1.08851832041034,1.4293321900897555
