subject,model,balanced_accuracy
44,MU_BETA_SHARED,0.764163372859025
45,BROAD_EEGNET,0.6320816864295126
45,CSP4_LDA,0.6007905138339921
45,MU_BETA_SHARED,0.5708168642951251
46,BROAD_EEGNET,0.7193675889328063
46,CSP4_LDA,0.5227272727272727
46,MU_BETA_SHARED,0.69433465085639
47,BROAD_EEGNET,0.5694444444444445
47,CSP4_LDA,0.46130952380952384
47,MU_BETA_SHARED,0.5416666666666666
48,BROAD_EEGNET,0.6870882740447958
48,CSP4_LDA,0.5207509881422925
48,MU_BETA_SHARED,0.7078392621870883
49,BROAD_EEGNET,0.5217391304347826
49,CSP4_LDA,0.7164031620553359
49,MU_BETA_SHARED,0.5579710144927535
50,BROAD_EEGNET,0.5240447957839263
50,CSP4_LDA,0.5
50,MU_BETA_SHARED,0.5233860342555995
51,BROAD_EEGNET,0.5158730158730158
51,CSP4_LDA,0.5
51,MU_BETA_SHARED,0.5188492063492064
52,BROAD_EEGNET,0.6984126984126983
52,CSP4_LDA,0.5
52,MU_BETA_SHARED,0.7331349206349206
53,BROAD_EEGNET,0.5108695652173912
53,CSP4_LDA,0.5
53,MU_BETA_SHARED,0.525691699604743
54,BROAD_EEGNET,0.7272727272727272
54,CSP4_LDA,0.5148221343873518
54,MU_BETA_SHARED,0.6989459815546772
55,BROAD_EEGNET,0.9110671936758893
55,CSP4_LDA,0.6877470355731226
55,MU_BETA_SHARED,0.8952569169960475
56,BROAD_EEGNET,0.6930171277997365
56,CSP4_LDA,0.5148221343873518
56,MU_BETA_SHARED,0.7658102766798419
57,BROAD_EEGNET,0.5317460317460317
57,CSP4_LDA,0.5952380952380952
57,MU_BETA_SHARED,0.5029761904761905
58,BROAD_EEGNET,0.5416666666666666
58,CSP4_LDA,0.5267857142857143
58,MU_BETA_SHARED,0.548611111111111
59,BROAD_EEGNET,0.4692460317460317
59,CSP4_LDA,0.5
59,MU_BETA_SHARED,0.5128968253968255
60,BROAD_EEGNET,0.7938076416337285
60,CSP4_LDA,0.4782608695652174
60,MU_BETA_SHARED,0.7862318840579711
61,BROAD_EEGNET,0.7104743083003954
61,CSP4_LDA,0.7341897233201581
61,MU_BETA_SHARED,0.7091567852437418
62,BROAD_EEGNET,0.9094202898550726
62,CSP4_LDA,0.45652173913043476
62,MU_BETA_SHARED,0.9097496706192358
63,BROAD_EEGNET,0.538866930171278
63,CSP4_LDA,0.5642292490118577
63,MU_BETA_SHARED,0.5704874835309618
64,BROAD_EEGNET,0.6189064558629775
64,CSP4_LDA,0.5187747035573123
64,MU_BETA_SHARED,0.652832674571805
65,BROAD_EEGNET,0.689484126984127
65,CSP4_LDA,0.6339285714285714
65,MU_BETA_SHARED,0.7559523809523809
66,BROAD_EEGNET,0.5471014492753623
66,CSP4_LDA,0.5523715415019763
66,MU_BETA_SHARED,0.5615942028985507
67,BROAD_EEGNET,0.49571805006587616
67,CSP4_LDA,0.5217391304347826
67,MU_BETA_SHARED,0.5052700922266139
68,BROAD_EEGNET,0.6623847167325428
68,CSP4_LDA,0.5
68,MU_BETA_SHARED,0.6854413702239789
69,BROAD_EEGNET,0.5486111111111112
69,CSP4_LDA,0.4791666666666667
69,MU_BETA_SHARED,0.5446428571428571
70,BROAD_EEGNET,0.5652173913043478
70,CSP4_LDA,0.5207509881422925
70,MU_BETA_SHARED,0.5289855072463768
71,BROAD_EEGNET,0.8254281949934125
71,CSP4_LDA,0.607707509881423
71,MU_BETA_SHARED,0.7819499341238472
72,BROAD_EEGNET,0.8787878787878788
72,CSP4_LDA,0.6709486166007905
72,MU_BETA_SHARED,0.9094202898550724
73,BROAD_EEGNET,0.5806982872200264
73,CSP4_LDA,0.6373517786561265
73,MU_BETA_SHARED,0.5559947299077733
74,BROAD_EEGNET,0.5694444444444445
74,CSP4_LDA,0.44047619047619047
74,MU_BETA_SHARED,0.5307539682539683
75,BROAD_EEGNET,0.780961791831357
75,CSP4_LDA,0.5
75,MU_BETA_SHARED,0.712121212121212
76,BROAD_EEGNET,0.44235836627140973
76,CSP4_LDA,0.5
76,MU_BETA_SHARED,0.5424901185770751
77,BROAD_EEGNET,0.621031746031746
77,CSP4_LDA,0.5565476190476191
77,MU_BETA_SHARED,0.6259920634920634
78,BROAD_EEGNET,0.575098814229249
78,CSP4_LDA,0.5237154150197628
78,MU_BETA_SHARED,0.5836627140974967
79,BROAD_EEGNET,0.5823451910408433
79,CSP4_LDA,0.6067193675889329
79,MU_BETA_SHARED,0.5662055335968379
80,BROAD_EEGNET,0.5945322793148881
80,CSP4_LDA,0.5227272727272727
80,MU_BETA_SHARED,0.5872859025032938
81,BROAD_EEGNET,0.5217391304347826
81,CSP4_LDA,0.5
81,MU_BETA_SHARED,0.5072463768115942
82,BROAD_EEGNET,0.6080368906455863
82,CSP4_LDA,0.5
82,MU_BETA_SHARED,0.6294466403162056
83,BROAD_EEGNET,0.6778656126482213
83,CSP4_LDA,0.6709486166007905
83,MU_BETA_SHARED,0.7302371541501976
84,BROAD_EEGNET,0.6254940711462451
84,CSP4_LDA,0.5
84,MU_BETA_SHARED,0.6706192358366271
85,BROAD_EEGNET,0.955862977602108
85,CSP4_LDA,0.6956521739130435
85,MU_BETA_SHARED,0.9706851119894598
86,BROAD_EEGNET,0.5770750988142292
86,CSP4_LDA,0.5
86,MU_BETA_SHARED,0.591897233201581
87,BROAD_EEGNET,0.4627799736495389
87,CSP4_LDA,0.5859683794466404
87,MU_BETA_SHARED,0.4884716732542819
