subject,BROAD_EEGNET_BA,MU_BETA_SHARED_BA,CSP4_LDA_BA,primary_difference_shared_minus_broad,native_rate_hz
1,0.6963109354413701,0.6884057971014492,0.4654150197628458,-0.007905138339920903,160
2,0.9173254281949935,0.9183135704874835,0.591897233201581,0.0009881422924900019,160
3,0.4433465085638999,0.45750988142292487,0.48122529644268774,0.01416337285902497,160
4,0.5507246376811593,0.5434782608695652,0.48616600790513836,-0.007246376811594124,160
5,0.4871031746031746,0.4930555555555556,0.5,0.005952380952380987,160
6,0.5079365079365079,0.45436507936507936,0.46130952380952384,-0.05357142857142855,160
7,0.849802371541502,0.8939393939393939,0.5474308300395256,0.04413702239789197,160
8,0.6030961791831357,0.6027667984189723,0.5,-0.00032938076416344497,160
9,0.45337301587301587,0.5109126984126984,0.5267857142857143,0.0575396825396825,160
10,0.6220238095238095,0.6220238095238094,0.6369047619047619,-1.1102230246251565e-16,160
11,0.4845191040843215,0.4917654808959157,0.4772727272727273,0.007246376811594235,160
12,0.677579365079365,0.7003968253968255,0.5297619047619048,0.02281746031746046,160
13,0.6212121212121212,0.6228590250329381,0.45849802371541504,0.0016469038208168918,160
14,0.5662055335968379,0.6110013175230566,0.44664031620553357,0.044795783926218746,160
15,0.746376811594203,0.810935441370224,0.5385375494071146,0.064558629776021,160
16,0.6258234519104083,0.7091567852437418,0.6254940711462451,0.08333333333333348,160
17,0.5592885375494071,0.5734519104084321,0.5,0.014163372859025025,160
18,0.4654150197628459,0.49670619235836627,0.5,0.03129117259552039,160
19,0.6584321475625824,0.6228590250329381,0.4199604743083004,-0.035573122529644285,160
20,0.48188405797101447,0.47134387351778656,0.5345849802371542,-0.010540184453227908,160
21,0.6458333333333334,0.7053571428571429,0.6041666666666666,0.059523809523809534,160
22,0.5487483530961792,0.5105401844532279,0.5207509881422925,-0.03820816864295129,160
23,0.5813570487483531,0.6554677206851119,0.6660079051383399,0.0741106719367588,160
24,0.5,0.5,0.5,0.0,160
25,0.5530303030303031,0.5533596837944664,0.516798418972332,0.00032938076416333395,160
26,0.6706349206349206,0.7529761904761904,0.5,0.08234126984126977,160
27,0.4785902503293808,0.4640974967061924,0.5602766798418972,-0.014492753623188415,160
28,0.5691699604743082,0.5757575757575758,0.43675889328063244,0.006587615283267567,160
29,0.9413702239789196,0.9637681159420289,0.8191699604743083,0.022397891963109373,160
30,0.5833333333333334,0.5317460317460317,0.5714285714285714,-0.051587301587301626,160
31,0.8089591567852438,0.8168642951251647,0.7361660079051384,0.007905138339920903,160
32,0.558531746031746,0.5684523809523809,0.5803571428571428,0.009920634920634885,160
33,0.7631752305665348,0.7611989459815547,0.6067193675889329,-0.0019762845849801147,160
34,0.8690476190476191,0.8621031746031745,0.5982142857142857,-0.006944444444444531,160
35,0.6218708827404479,0.6301054018445322,0.5207509881422925,0.008234519104084348,160
36,0.4334650856389987,0.3932806324110672,0.47529644268774707,-0.040184453227931516,160
37,0.5227272727272727,0.5,0.46047430830039526,-0.022727272727272707,160
38,0.5645586297760211,0.558300395256917,0.4150197628458498,-0.006258234519104122,160
39,0.5154808959156786,0.5171277997364955,0.5553359683794465,0.0016469038208168918,160
40,0.4662698412698412,0.4761904761904762,0.5565476190476191,0.009920634920634996,160
41,0.5595238095238094,0.5803571428571428,0.6547619047619048,0.02083333333333337,160
42,0.6884057971014492,0.6739130434782609,0.6136363636363636,-0.01449275362318836,160
43,0.8158761528326747,0.7803030303030303,0.7519762845849802,-0.035573122529644396,160
44,0.7565876152832675,0.764163372859025,0.5009881422924901,0.007575757575757569,160
