subject,model,seed,n_trials,balanced_accuracy,true_left_pred_left,true_left_pred_right,true_right_pred_left,true_right_pred_right,predicted_left_share
106,MU_BETA_SHARED,20260926,45,0.6190476190476191,16,8,9,12,0.5555555555555556
107,BROAD_EEGNET,20260924,45,0.46726190476190477,19,5,18,3,0.8222222222222222
107,BROAD_EEGNET,20260925,45,0.4375,21,3,21,0,0.9333333333333333
107,BROAD_EEGNET,20260926,45,0.4017857142857143,17,7,19,2,0.8
107,CSP4_LDA,deterministic,45,0.5327380952380952,5,19,3,18,0.17777777777777778
107,MU_BETA_SHARED,20260924,45,0.48809523809523814,20,4,18,3,0.8444444444444444
107,MU_BETA_SHARED,20260925,45,0.4583333333333333,22,2,21,0,0.9555555555555556
107,MU_BETA_SHARED,20260926,45,0.44047619047619047,20,4,20,1,0.8888888888888888
108,BROAD_EEGNET,20260924,45,0.6403162055335968,10,12,4,19,0.3111111111111111
108,BROAD_EEGNET,20260925,45,0.6393280632411067,9,13,3,20,0.26666666666666666
108,BROAD_EEGNET,20260926,45,0.6630434782608696,11,11,4,19,0.3333333333333333
108,CSP4_LDA,deterministic,45,0.5602766798418972,17,5,15,8,0.7111111111111111
108,MU_BETA_SHARED,20260924,45,0.6393280632411067,9,13,3,20,0.26666666666666666
108,MU_BETA_SHARED,20260925,45,0.6383399209486166,8,14,2,21,0.2222222222222222
108,MU_BETA_SHARED,20260926,45,0.6620553359683794,10,12,3,20,0.28888888888888886
109,BROAD_EEGNET,20260924,45,0.5,0,23,0,22,0.0
109,BROAD_EEGNET,20260925,45,0.5,0,23,0,22,0.0
109,BROAD_EEGNET,20260926,45,0.5,0,23,0,22,0.0
109,CSP4_LDA,deterministic,45,0.5,0,23,0,22,0.0
109,MU_BETA_SHARED,20260924,45,0.5,0,23,0,22,0.0
109,MU_BETA_SHARED,20260925,45,0.5,0,23,0,22,0.0
109,MU_BETA_SHARED,20260926,45,0.5,0,23,0,22,0.0
11,BROAD_EEGNET,20260924,45,0.4950592885375494,5,18,5,17,0.2222222222222222
11,BROAD_EEGNET,20260925,45,0.44367588932806323,11,12,13,9,0.5333333333333333
11,BROAD_EEGNET,20260926,45,0.5148221343873518,8,15,7,15,0.3333333333333333
11,CSP4_LDA,deterministic,45,0.4772727272727273,0,23,1,21,0.022222222222222223
11,MU_BETA_SHARED,20260924,45,0.5187747035573123,4,19,3,19,0.15555555555555556
11,MU_BETA_SHARED,20260925,45,0.4031620553359684,6,17,10,12,0.35555555555555557
11,MU_BETA_SHARED,20260926,45,0.5533596837944664,15,8,12,10,0.6
12,BROAD_EEGNET,20260924,45,0.6517857142857142,16,5,11,13,0.6
12,BROAD_EEGNET,20260925,45,0.6517857142857142,16,5,11,13,0.6
12,BROAD_EEGNET,20260926,45,0.7291666666666666,14,7,5,19,0.4222222222222222
12,CSP4_LDA,deterministic,45,0.5297619047619048,3,18,2,22,0.1111111111111111
12,MU_BETA_SHARED,20260924,45,0.7410714285714286,18,3,9,15,0.6
12,MU_BETA_SHARED,20260925,45,0.6964285714285714,17,4,10,14,0.6
12,MU_BETA_SHARED,20260926,45,0.6636904761904762,20,1,15,9,0.7777777777777778
13,BROAD_EEGNET,20260924,45,0.6709486166007905,11,12,3,19,0.3111111111111111
13,BROAD_EEGNET,20260925,45,0.5207509881422925,2,21,1,21,0.06666666666666667
13,BROAD_EEGNET,20260926,45,0.6719367588932806,10,13,2,20,0.26666666666666666
13,CSP4_LDA,deterministic,45,0.45849802371541504,19,4,20,2,0.8666666666666667
13,MU_BETA_SHARED,20260924,45,0.6521739130434783,7,16,0,22,0.15555555555555556
13,MU_BETA_SHARED,20260925,45,0.5642292490118577,4,19,1,21,0.1111111111111111
