epoch,train_ce,val_ce
1,1.3699029369486704,
2,1.3193093025022082,
3,1.251586710413297,
4,1.200958670841323,
5,1.1540767293837335,
6,1.1317197249995337,
7,1.1155932487712965,
8,1.0943846727410953,
9,1.0851858680446942,
10,1.0703799136810832,
11,1.0594928397072687,
12,1.0633055766423543,
13,1.0508842310971684,
14,1.0472370659311612,
15,1.0500597250130441,
16,1.0252932997213469,
17,1.030520883699258,
18,1.0387085063589945,
19,1.0191207826137543,
20,1.0086718772848446,
21,1.0218245602316327,
22,1.0168279740545485,
23,1.0120733454823494,
24,1.00600665807724,
25,1.0013729929924011,
26,1.0084039577179484,
27,0.9912834540009499,
