subject,n_target_trials,source_subjects,source_mean_abs_uV,target_mean_abs_uV,source_std_mean_uV,target_std_mean_uV,target_z_mean_abs,target_z_mean_rms,target_z_std_mean,target_z_std_min,target_z_std_max,abs_log_std_ratio_mean,log_scale_shift_rms,combined_mismatch,channels_mean_shift_gt_0_5,channels_mean_shift_gt_1,channels_std_ratio_lt_0_8,channels_std_ratio_gt_1_25,Q5_BA,Q6_BA,delta_BA,delta_BA_pp
1,576,"2,3,4,5,6,7,8,9",0.007783277624228552,0.0010922182716292317,8.062121332013954,6.274731686426976,0.0010013138617459992,0.0010186610438236996,0.7796492452712236,0.7205663833743685,0.840746705824526,0.25002545457862957,0.2544461281782301,0.2544481672467194,0,0,13,0,0.5700231481481481,0.5688657407407407,-0.0011574074074074403,-0.11574074074074403
2,576,"1,3,4,5,6,7,8,9",0.007817986809422263,0.0008979813094419103,7.854194595315576,8.097770124710138,0.0010742253506524095,0.0010970110426970735,1.0356309163321233,0.8458086239041224,1.1835976854866437,0.07384808932620619,0.08600549023027519,0.08601248620390972,0,0,0,0,0.24479166666666663,0.24710648148148148,0.002314814814814853,0.23148148148148529
3,576,"1,2,4,5,6,7,8,9",0.005834096099573594,0.01525803450312958,7.864939312268486,8.028132710892496,0.00120078510001781,0.0012493399402922626,1.020865436869493,0.938812376221327,1.1007792621018735,0.044780607299251825,0.05121061153226005,0.05122584878549554,0,0,0,0,0.2609953703703704,0.6585648148148148,0.39756944444444436,39.756944444444436
4,576,"1,2,3,5,6,7,8,9",0.006545508691404404,0.009566733768483097,8.09985501572487,5.87740742520536,0.0003801149353956863,0.0004263190207744556,0.7248377246396124,0.6814102365388484,0.7781911553784667,0.3223076914155288,0.3238569765018842,0.3238572571007935,0,0,22,0,0.36921296296296297,0.37384259259259256,0.004629629629629595,0.46296296296295947
5,576,"1,2,3,4,6,7,8,9",0.007238250475970718,0.004050648041149557,8.147196708022133,5.316873150819249,0.00046423859500927043,0.0005430663373663432,0.6552492715804012,0.5628426652764754,0.7553492001131844,0.4256417652427043,0.432409600811798,0.4324099418321291,0,0,22,0,0.24131944444444442,0.24652777777777776,0.005208333333333343,0.5208333333333343
6,576,"1,2,3,4,5,7,8,9",0.005920306460059047,0.014568351619245955,7.74529767272941,8.907210635346651,0.0011162975463525954,0.0013961549415622487,1.1526420259686707,0.9930474589629862,1.2298566968881708,0.14135666244398876,0.15002801289825116,0.1500345090398161,0,0,0,0,0.2835648148148148,0.2829861111111111,-0.0005787037037037202,-0.057870370370372015
7,576,"1,2,3,4,5,6,8,9",0.007417090077349715,0.0032427987395441545,8.115347374262624,5.700594311862655,0.0006040781141648695,0.000649675806012185,0.7012737541107703,0.5969881101528203,0.743058693793239,0.3561730934682091,0.359939452551195,0.3599400388696802,0,0,22,0,0.28472222222222227,0.2864583333333333,0.0017361111111110494,0.17361111111110494
8,576,"1,2,3,4,5,6,7,9",0.007038749707607459,0.005620805638858645,7.622300935521334,9.72085735161649,0.00025328171003157103,0.00033857199307196366,1.274865851032113,1.1622325559463111,1.3354205277939935,0.24186284472169287,0.24591552803630068,0.24591576110604843,0,0,0,15,0.296875,0.2528935185185185,-0.04398148148148151,-4.398148148148151
9,576,"1,2,3,4,5,6,7,8",0.006335537354102579,0.011246504466897685,7.410428016579755,10.906473199662878,0.0006886182353726556,0.0008239177383494455,1.4701754633616446,1.2582913449965731,1.8568440795528731,0.3792207833844962,0.39500496869615653,0.39500582797610867,0,0,0,22,0.48321759259259256,0.49652777777777773,0.013310185185185175,1.3310185185185175
