subject,seed,balanced_accuracy_Q5,macro_f1_Q5,cohen_kappa_Q5,balanced_accuracy_Q6,macro_f1_Q6,cohen_kappa_Q6,delta_BA,delta_BA_pp,delta_macro_f1,delta_kappa
1,20260924,0.5381944444444444,0.4836246743299551,0.3842592592592593,0.517361111111111,0.4567267552244689,0.3564814814814815,-0.02083333333333337,-2.083333333333337,-0.026897919105486168,-0.02777777777777779
1,20260925,0.5659722222222222,0.5491124860466792,0.4212962962962963,0.5850694444444444,0.5622086086192514,0.4467592592592593,0.01909722222222221,1.909722222222221,0.0130961225725722,0.02546296296296302
1,20260926,0.6059027777777778,0.5673682194178891,0.4745370370370371,0.6041666666666666,0.561940441533039,0.4722222222222222,-0.0017361111111111605,-0.17361111111111605,-0.005427777884850049,-0.0023148148148148806
2,20260924,0.2395833333333333,0.1440172697368421,-0.0138888888888888,0.2413194444444444,0.1087530638312562,-0.0115740740740741,0.001736111111111105,0.1736111111111105,-0.03526420590558589,0.0023148148148147
2,20260925,0.2430555555555555,0.1108047823766066,-0.0092592592592593,0.25,0.100418410041841,0.0,0.006944444444444503,0.6944444444444503,-0.010386372334765595,0.0092592592592593
2,20260926,0.2517361111111111,0.1412584656179453,0.0023148148148147,0.25,0.1,0.0,-0.001736111111111105,-0.1736111111111105,-0.0412584656179453,-0.0023148148148147
3,20260924,0.2517361111111111,0.10370320906628,0.0023148148148147,0.6440972222222222,0.6207818857240895,0.525462962962963,0.3923611111111111,39.23611111111111,0.5170786766578095,0.5231481481481484
3,20260925,0.2517361111111111,0.1071415352727811,0.0023148148148147,0.5694444444444444,0.5718030983626086,0.4259259259259259,0.3177083333333333,31.770833333333332,0.4646615630898275,0.42361111111111116
3,20260926,0.2795138888888889,0.1653846153846153,0.0393518518518518,0.7621527777777778,0.7579927473841948,0.6828703703703703,0.4826388888888889,48.26388888888889,0.5926081319995795,0.6435185185185186
4,20260924,0.3611111111111111,0.3107494449065087,0.1481481481481481,0.3732638888888889,0.3451656558641384,0.1643518518518518,0.01215277777777779,1.215277777777779,0.0344162109576297,0.016203703703703692
4,20260925,0.3576388888888889,0.2860416832175012,0.1435185185185185,0.3559027777777778,0.2986263173742848,0.1412037037037037,-0.001736111111111105,-0.1736111111111105,0.012584634156783625,-0.0023148148148147973
4,20260926,0.3888888888888888,0.3310431674836284,0.1851851851851852,0.3923611111111111,0.3356865501778378,0.1898148148148147,0.003472222222222321,0.3472222222222321,0.004643382694209386,0.004629629629629484
5,20260924,0.2482638888888889,0.0994436717663421,-0.0023148148148148,0.2413194444444444,0.1256244204480871,-0.0115740740740741,-0.006944444444444503,-0.6944444444444503,0.02618074868174501,-0.0092592592592593
5,20260925,0.234375,0.1258134565245956,-0.0208333333333332,0.2395833333333333,0.1087366331348114,-0.0138888888888888,0.005208333333333287,0.5208333333333287,-0.01707682338978421,0.006944444444444401
5,20260926,0.2413194444444444,0.1317928852029681,-0.0115740740740741,0.2586805555555555,0.1625177304964539,0.011574074074074,0.017361111111111133,1.7361111111111134,0.030724845293485792,0.0231481481481481
6,20260924,0.2899305555555556,0.2587004529605911,0.0532407407407407,0.2795138888888889,0.2514231428186113,0.0393518518518518,-0.010416666666666685,-1.0416666666666685,-0.007277310141979798,-0.013888888888888902
6,20260925,0.3038194444444444,0.2672138131232656,0.0717592592592593,0.296875,0.2548206696702662,0.0625,-0.00694444444444442,-0.694444444444442,-0.012393143452999411,-0.0092592592592593
6,20260926,0.2569444444444445,0.2175348007597978,0.0092592592592593,0.2725694444444444,0.2310172538798098,0.0300925925925925,0.015624999999999944,1.5624999999999944,0.013482453120011978,0.0208333333333332
7,20260924,0.2934027777777778,0.2521057308411085,0.0578703703703703,0.2986111111111111,0.2549572244786457,0.0648148148148147,0.005208333333333315,0.5208333333333315,0.002851493637537228,0.006944444444444399
7,20260925,0.2777777777777778,0.2210153398706769,0.037037037037037,0.2795138888888888,0.2100383225610085,0.0393518518518518,0.001736111111110994,0.1736111111110994,-0.010977017309668408,0.0023148148148147973
7,20260926,0.2829861111111111,0.230933702271219,0.0439814814814815,0.28125,0.2218200182182013,0.0416666666666666,-0.001736111111111105,-0.1736111111111105,-0.009113684053017712,-0.0023148148148149014
8,20260924,0.2829861111111111,0.2253500681794601,0.0439814814814815,0.2569444444444444,0.1561667301103921,0.0092592592592593,-0.026041666666666685,-2.6041666666666687,-0.06918333806906801,-0.0347222222222222
8,20260925,0.2864583333333333,0.2142523006245895,0.0486111111111111,0.2552083333333333,0.119514953505906,0.0069444444444444,-0.03125,-3.125,-0.0947373471186835,-0.0416666666666667
8,20260926,0.3211805555555556,0.2862158668318772,0.0949074074074074,0.2465277777777777,0.1243125992912135,-0.0046296296296295,-0.07465277777777787,-7.4652777777777874,-0.16190326754066373,-0.0995370370370369
9,20260924,0.4791666666666667,0.4406261492504424,0.3055555555555556,0.4965277777777777,0.4642779302897909,0.3287037037037037,0.017361111111110994,1.7361111111110994,0.023651781039348507,0.02314814814814814
9,20260925,0.5052083333333333,0.4940343924756505,0.3402777777777778,0.5069444444444444,0.4863087036903231,0.3425925925925925,0.0017361111111111605,0.17361111111111605,-0.0077256887853274225,0.002314814814814714
9,20260926,0.4652777777777778,0.4297125363881038,0.2870370370370371,0.4861111111111111,0.4527110492490004,0.3148148148148147,0.020833333333333315,2.0833333333333313,0.022998512860896603,0.027777777777777624
