fold,Q5_selected_epochs,Q6_selected_epochs,subject,epoch_delta
loso_s1,27,27,1,0
loso_s2,1,1,2,0
loso_s3,2,16,3,14
loso_s4,10,10,4,0
loso_s5,13,12,5,-1
loso_s6,7,7,6,0
loso_s7,6,6,7,0
loso_s8,1,1,8,0
loso_s9,7,7,9,0
