subject,n_target_trials,source_subjects,source_mean_abs_uV,target_mean_abs_uV,source_std_mean_uV,target_std_mean_uV,target_z_mean_abs,target_z_mean_rms,target_z_std_mean,target_z_std_min,target_z_std_max,abs_log_std_ratio_mean,log_scale_shift_rms,combined_mismatch,channels_mean_shift_gt_0_5,channels_mean_shift_gt_1,channels_std_ratio_lt_0_8,channels_std_ratio_gt_1_25,Q5_BA,Q6_BA,delta_BA,delta_BA_pp
3,576,"1,2,4,5,6,7,8,9",0.005834096099573594,0.01525803450312958,7.864939312268486,8.028132710892496,0.00120078510001781,0.0012493399402922626,1.020865436869493,0.938812376221327,1.1007792621018735,0.044780607299251825,0.05121061153226005,0.05122584878549554,0,0,0,0,0.2609953703703704,0.6585648148148148,0.39756944444444436,39.756944444444436
8,576,"1,2,3,4,5,6,7,9",0.007038749707607459,0.005620805638858645,7.622300935521334,9.72085735161649,0.00025328171003157103,0.00033857199307196366,1.274865851032113,1.1622325559463111,1.3354205277939935,0.24186284472169287,0.24591552803630068,0.24591576110604843,0,0,0,15,0.296875,0.2528935185185185,-0.04398148148148151,-4.398148148148151
