experiment,subject,seed,class_id,class_name,correct,total,recall
Q6,1,20260925,1,left_hand,118,144,0.8194444444444444
Q6,1,20260925,2,right_hand,111,144,0.7708333333333334
Q6,1,20260925,3,feet,76,144,0.5277777777777778
Q6,1,20260925,4,tongue,32,144,0.2222222222222222
Q6,1,20260926,1,left_hand,105,144,0.7291666666666666
Q6,1,20260926,2,right_hand,141,144,0.9791666666666666
Q6,1,20260926,3,feet,77,144,0.5347222222222222
Q6,1,20260926,4,tongue,25,144,0.1736111111111111
Q6,2,20260924,1,left_hand,135,144,0.9375
Q6,2,20260924,2,right_hand,4,144,0.027777777777777776
Q6,2,20260924,3,feet,0,144,0.0
Q6,2,20260924,4,tongue,0,144,0.0
Q6,2,20260925,1,left_hand,144,144,1.0
Q6,2,20260925,2,right_hand,0,144,0.0
Q6,2,20260925,3,feet,0,144,0.0
Q6,2,20260925,4,tongue,0,144,0.0
Q6,2,20260926,1,left_hand,144,144,1.0
Q6,2,20260926,2,right_hand,0,144,0.0
Q6,2,20260926,3,feet,0,144,0.0
Q6,2,20260926,4,tongue,0,144,0.0
Q6,3,20260924,1,left_hand,104,144,0.7222222222222222
Q6,3,20260924,2,right_hand,105,144,0.7291666666666666
Q6,3,20260924,3,feet,36,144,0.25
Q6,3,20260924,4,tongue,126,144,0.875
Q6,3,20260925,1,left_hand,80,144,0.5555555555555556
Q6,3,20260925,2,right_hand,57,144,0.3958333333333333
Q6,3,20260925,3,feet,57,144,0.3958333333333333
Q6,3,20260925,4,tongue,134,144,0.9305555555555556
Q6,3,20260926,1,left_hand,120,144,0.8333333333333334
Q6,3,20260926,2,right_hand,131,144,0.9097222222222222
Q6,3,20260926,3,feet,83,144,0.5763888888888888
Q6,3,20260926,4,tongue,105,144,0.7291666666666666
Q6,4,20260924,1,left_hand,79,144,0.5486111111111112
Q6,4,20260924,2,right_hand,86,144,0.5972222222222222
Q6,4,20260924,3,feet,31,144,0.2152777777777778
Q6,4,20260924,4,tongue,19,144,0.13194444444444445
Q6,4,20260925,1,left_hand,21,144,0.14583333333333334
Q6,4,20260925,2,right_hand,105,144,0.7291666666666666
Q6,4,20260925,3,feet,71,144,0.4930555555555556
Q6,4,20260925,4,tongue,8,144,0.05555555555555555
Q6,4,20260926,1,left_hand,3,144,0.020833333333333332
Q6,4,20260926,2,right_hand,99,144,0.6875
Q6,4,20260926,3,feet,85,144,0.5902777777777778
Q6,4,20260926,4,tongue,39,144,0.2708333333333333
Q6,5,20260924,1,left_hand,127,144,0.8819444444444444
Q6,5,20260924,2,right_hand,12,144,0.08333333333333333
Q6,5,20260924,3,feet,0,144,0.0
Q6,5,20260924,4,tongue,0,144,0.0
Q6,5,20260925,1,left_hand,4,144,0.027777777777777776
Q6,5,20260925,2,right_hand,134,144,0.9305555555555556
Q6,5,20260925,3,feet,0,144,0.0
Q6,5,20260925,4,tongue,0,144,0.0
Q6,5,20260926,1,left_hand,110,144,0.7638888888888888
Q6,5,20260926,2,right_hand,39,144,0.2708333333333333
Q6,5,20260926,3,feet,0,144,0.0
Q6,5,20260926,4,tongue,0,144,0.0
Q6,6,20260924,1,left_hand,5,144,0.034722222222222224
Q6,6,20260924,2,right_hand,35,144,0.24305555555555555
Q6,6,20260924,3,feet,49,144,0.3402777777777778
Q6,6,20260924,4,tongue,72,144,0.5
Q6,6,20260925,1,left_hand,17,144,0.11805555555555555
Q6,6,20260925,2,right_hand,19,144,0.13194444444444445
Q6,6,20260925,3,feet,27,144,0.1875
Q6,6,20260925,4,tongue,108,144,0.75
Q6,6,20260926,1,left_hand,11,144,0.0763888888888889
Q6,6,20260926,2,right_hand,26,144,0.18055555555555555
Q6,6,20260926,3,feet,101,144,0.7013888888888888
Q6,6,20260926,4,tongue,19,144,0.13194444444444445
Q6,7,20260924,1,left_hand,92,144,0.6388888888888888
Q6,7,20260924,2,right_hand,53,144,0.3680555555555556
Q6,7,20260924,3,feet,8,144,0.05555555555555555
Q6,7,20260924,4,tongue,19,144,0.13194444444444445
Q6,7,20260925,1,left_hand,31,144,0.2152777777777778
Q6,7,20260925,2,right_hand,115,144,0.7986111111111112
Q6,7,20260925,3,feet,4,144,0.027777777777777776
Q6,7,20260925,4,tongue,11,144,0.0763888888888889
Q6,7,20260926,1,left_hand,68,144,0.4722222222222222
Q6,7,20260926,2,right_hand,80,144,0.5555555555555556
Q6,7,20260926,3,feet,8,144,0.05555555555555555
Q6,7,20260926,4,tongue,6,144,0.041666666666666664
Q6,8,20260924,1,left_hand,116,144,0.8055555555555556
Q6,8,20260924,2,right_hand,32,144,0.2222222222222222
Q6,8,20260924,3,feet,0,144,0.0
Q6,8,20260924,4,tongue,0,144,0.0
Q6,8,20260925,1,left_hand,141,144,0.9791666666666666
Q6,8,20260925,2,right_hand,6,144,0.041666666666666664
Q6,8,20260925,3,feet,0,144,0.0
Q6,8,20260925,4,tongue,0,144,0.0
Q6,8,20260926,1,left_hand,132,144,0.9166666666666666
Q6,8,20260926,2,right_hand,10,144,0.06944444444444445
Q6,8,20260926,3,feet,0,144,0.0
Q6,8,20260926,4,tongue,0,144,0.0
Q6,9,20260924,1,left_hand,59,144,0.4097222222222222
Q6,9,20260924,2,right_hand,70,144,0.4861111111111111
Q6,9,20260924,3,feet,21,144,0.14583333333333334
Q6,9,20260924,4,tongue,136,144,0.9444444444444444
Q6,9,20260925,1,left_hand,60,144,0.4166666666666667
Q6,9,20260925,2,right_hand,63,144,0.4375
Q6,9,20260925,3,feet,36,144,0.25
Q6,9,20260925,4,tongue,133,144,0.9236111111111112
Q6,9,20260926,1,left_hand,80,144,0.5555555555555556
Q6,9,20260926,2,right_hand,45,144,0.3125
Q6,9,20260926,3,feet,16,144,0.1111111111111111
Q6,9,20260926,4,tongue,139,144,0.9652777777777778
