omitted_subject,n_subjects,mean_delta_BA_pp,median_delta_BA_pp,subjects_improved,wilcoxon_p
1,8,4.752604166666663,0.3472222222222224,6,0.1953125
2,8,4.709201388888886,0.3182870370370322,5,0.3125
3,8,-0.2314814814814832,0.20254629629629511,5,0.3828125
4,8,4.6802662037037015,0.20254629629629511,5,0.3125
5,8,4.673032407407405,0.20254629629629511,5,0.3125
6,8,4.745370370370368,0.3472222222222224,6,0.1953125
7,8,4.716435185185183,0.3472222222222224,5,0.3125
8,8,5.28790509259259,0.3472222222222224,6,0.0390625
9,8,4.571759259259258,0.20254629629629511,5,0.3125
