subset,n_subjects,metric,pearson_r,pearson_p,spearman_rho,spearman_p
all_S1-S9,9,target_z_mean_abs,0.5161981180626865,0.15482964781286324,0.2833333333333333,0.46003032896572005
all_S1-S9,9,target_z_mean_rms,0.4513252190167123,0.22268561340045256,0.18333333333333335,0.6368198117628943
all_S1-S9,9,abs_log_std_ratio_mean,-0.5305707506956856,0.14167697069116145,0.13333333333333333,0.7323675052362973
all_S1-S9,9,log_scale_shift_rms,-0.5325564665089169,0.13991332456378894,0.13333333333333333,0.7323675052362973
all_S1-S9,9,combined_mismatch,-0.5325414366978841,0.13992662481535123,0.13333333333333333,0.7323675052362973
excluding_S3,8,target_z_mean_abs,0.4162353608972944,0.30501546617903846,-0.023809523809523815,0.9553740118158806
excluding_S3,8,target_z_mean_rms,0.38467874204710845,0.34672341910953947,-0.023809523809523815,0.9553740118158806
excluding_S3,8,abs_log_std_ratio_mean,0.2444156381407437,0.5596450152788967,0.6190476190476191,0.10173303745426478
excluding_S3,8,log_scale_shift_rms,0.2617586072330591,0.5311606154544758,0.6190476190476191,0.10173303745426478
excluding_S3,8,combined_mismatch,0.2617678244545022,0.5311456203885269,0.6190476190476191,0.10173303745426478
excluding_S8,8,target_z_mean_abs,0.47241712087901183,0.2371853695911462,-0.023809523809523815,0.9553740118158806
excluding_S8,8,target_z_mean_rms,0.39388378395331786,0.3342987382704362,-0.1666666666666667,0.693238811728395
excluding_S8,8,abs_log_std_ratio_mean,-0.5511119094645905,0.15683308174477262,0.09523809523809526,0.8225054302036114
excluding_S8,8,log_scale_shift_rms,-0.5553340611528225,0.15302080740176033,0.09523809523809526,0.8225054302036114
excluding_S8,8,combined_mismatch,-0.5553212803709903,0.15303226999024938,0.09523809523809526,0.8225054302036114
excluding_S3_and_S8,7,target_z_mean_abs,-0.48796704341726815,0.2665970221647205,-0.5357142857142858,0.21521745567801298
excluding_S3_and_S8,7,target_z_mean_rms,-0.4200978868949616,0.34804860744216676,-0.5357142857142858,0.21521745567801298
excluding_S3_and_S8,7,abs_log_std_ratio_mean,0.5480947315415733,0.20274079107378012,0.642857142857143,0.11939237342741109
excluding_S3_and_S8,7,log_scale_shift_rms,0.5745297976771068,0.17730371157572342,0.642857142857143,0.11939237342741109
excluding_S3_and_S8,7,combined_mismatch,0.574532010924911,0.177301651383652,0.642857142857143,0.11939237342741109
