stratum,subject,Q5_BA,Q6_BA,delta_BA_pp
all,1,0.5700231481481481,0.5688657407407407,-0.11574074074074403
all,2,0.24479166666666663,0.24710648148148148,0.23148148148148529
all,3,0.2609953703703704,0.6585648148148148,39.756944444444436
all,4,0.36921296296296297,0.37384259259259256,0.46296296296295947
all,5,0.24131944444444442,0.24652777777777776,0.5208333333333343
all,6,0.2835648148148148,0.2829861111111111,-0.057870370370372015
all,7,0.28472222222222227,0.2864583333333333,0.17361111111110494
all,8,0.296875,0.2528935185185185,-4.398148148148151
all,9,0.48321759259259256,0.49652777777777773,1.3310185185185175
unflagged,1,0.5745103169402638,0.5752593169604499,0.07490000201860747
unflagged,2,0.24542500575109272,0.24755003450655622,0.21250287554634983
unflagged,3,0.2613757459505541,0.6617767466541499,40.04010007035958
unflagged,4,0.37311899936964626,0.3744709212515836,0.13519218819373346
unflagged,5,0.23991754194646916,0.24597753926801735,0.6059997321548188
unflagged,6,0.290533862495985,0.28819560683371137,-0.2338255662273636
unflagged,7,0.280928550998899,0.2834385321532259,0.2509981154326879
unflagged,8,0.2955229081563355,0.25212008141112613,-4.340282674520934
unflagged,9,0.48958294627335935,0.5028223462624946,1.3239399989135203
flagged,1,0.4549603174603174,0.4172619047619048,-3.7698412698412618
flagged,2,0.23611111111111108,0.23611111111111108,0.0
flagged,3,0.25347222222222227,0.6231481481481481,36.96759259259259
flagged,4,0.35515297906602256,0.3796014492753623,2.4448470209339765
flagged,5,0.2587412587412587,0.254079254079254,-0.46620046620046707
flagged,6,0.2579416675206668,0.2633975541436086,0.545588662294183
flagged,7,0.3578042328042328,0.3458994708994709,-1.1904761904761918
flagged,8,0.3130681818181818,0.2638888888888889,-4.917929292929291
flagged,9,0.4599630084827453,0.47604588394062075,1.6082875457875456
