epoch,train_ce,val_ce
1,1.3780899511443243,
2,1.3509239322609372,
3,1.3230981710884306,
4,1.3050761620203655,
5,1.2831234633922577,
6,1.2474045008420944,
7,1.233283720082707,
8,1.2275521854559581,
9,1.2181283831596375,
10,1.2089602831337187,
11,1.19623178574774,
12,1.1818628476725683,
13,1.1886120571030512,
14,1.1808399392498865,
15,1.1775751610596974,
16,1.1777153081364102,
17,1.1694855044285457,
18,1.1653692937559552,
19,1.1677595095502005,
20,1.159702632162306,
21,1.163205614520444,
22,1.1472105110685031,
23,1.1507180631160736,
24,1.1527820378541946,
