fold,subject,seed,model,stratum,n_train,n_test,n_classes_present,balanced_accuracy,accuracy,macro_f1,macro_precision,macro_recall,cohen_kappa,condition,selected_epochs
loso_s9,9,20260924,EEGNet,all,4608,576,4,0.5329861111111112,0.5329861111111112,0.5087969108037143,0.5563585596550995,0.5329861111111112,0.37731481481481477,BROAD_CAPACITY_MATCHED,7
loso_s9,9,20260924,EEGNet,unflagged,4608,501,4,0.5414323459908735,0.5389221556886228,0.5180541659770702,0.5644144506808981,0.5414323459908735,0.3850506918319201,BROAD_CAPACITY_MATCHED,7
loso_s9,9,20260924,EEGNet,flagged,4608,75,4,0.4832544100636206,0.49333333333333335,0.4401998899917494,0.4965379602476377,0.4832544100636206,0.32878002826189345,BROAD_CAPACITY_MATCHED,7
