epoch,train_ce,val_ce
1,1.384862893157535,
2,1.3412309338649113,
3,1.30155847966671,
4,1.258243708146943,
5,1.2417504804001913,
6,1.2237970812453165,
7,1.2056011425124273,
8,1.1995194305976231,
9,1.1957211080524657,
10,1.1788864102628496,
11,1.1631236837969885,
12,1.161885251601537,
13,1.1451083910134103,
14,1.1491737787922223,
15,1.1423717712362607,
16,1.1336773302819994,
17,1.1206383878986041,
18,1.1243303186363645,
19,1.1213541047440634,
20,1.1169298928644922,
21,1.1152118378215365,
22,1.0995598228441343,
23,1.1028326567676332,
