epoch,train_ce,val_ce
1,1.3848277164830103,
2,1.3566556092765596,
3,1.3313189645608265,
4,1.3095167991187837,
5,1.288424574666553,
6,1.2689654876788456,
7,1.2560621003309886,
8,1.244043078687456,
9,1.2320401221513748,
10,1.2247002373139064,
11,1.220267395178477,
12,1.2098327295647726,
13,1.2111346390512254,
14,1.2155235475964017,
15,1.2075574033790164,
16,1.2006367362207837,
17,1.20020791888237,
18,1.1973993480205536,
19,1.1941826774014368,
20,1.1945426613092422,
21,1.1917167868879106,
22,1.1882780210839377,
23,1.1770933187670178,
24,1.1762230727407668,
25,1.171400111582544,
26,1.1742003990544214,
