model,stratum,mean,std,count
PSD44_LDA,all,0.3628472222222222,0.08165722527860357,9
PSD44_LDA,flagged,0.3845074759076208,0.10065638041570124,9
PSD44_LDA,unflagged,0.36158369264291157,0.08003906197117211,9
PSD44_LINEAR_SVM,all,0.3578317901234568,0.0838761098056224,9
PSD44_LINEAR_SVM,flagged,0.3987080791371562,0.12559534667073577,9
PSD44_LINEAR_SVM,unflagged,0.355959371477896,0.08172211469258882,9
