mode,fold_id,model,n_train,n_test,fit_predict_seconds,balanced_accuracy,accuracy,macro_f1,cohen_kappa
cross_session,cross_session_s1,CSP+LDA,138,141,0.29678920000151265,0.9216297786720322,0.9219858156028369,0.921733864863501,0.8438538205980066
cross_session,cross_session_s1,CSP+linearSVM,138,141,0.17105350000201724,0.8071428571428572,0.8085106382978723,0.8006493166465937,0.6159588419247453
