mode,model,subject,n_test,balanced_accuracy,accuracy,macro_f1,cohen_kappa
cross_subject,CSP+LDA,1,288,0.53125,0.53125,0.4089658422388763,0.0625
cross_subject,CSP+LDA,2,288,0.5277777777777778,0.5277777777777778,0.4882943143812709,0.05555555555555558
cross_subject,CSP+LDA,3,288,0.6770833333333334,0.6770833333333334,0.6429894832251443,0.35416666666666663
cross_subject,CSP+LDA,4,288,0.6354166666666667,0.6354166666666666,0.6344249809596345,0.27083333333333337
cross_subject,CSP+LDA,5,288,0.4861111111111111,0.4861111111111111,0.4760031471282455,-0.02777777777777768
cross_subject,CSP+LDA,6,288,0.5347222222222222,0.5347222222222222,0.41098901098901097,0.06944444444444442
cross_subject,CSP+LDA,7,288,0.5694444444444444,0.5694444444444444,0.48606953718627677,0.13888888888888884
cross_subject,CSP+LDA,8,288,0.9236111111111112,0.9236111111111112,0.923374613003096,0.8472222222222222
cross_subject,CSP+LDA,9,288,0.6493055555555556,0.6493055555555556,0.6490982568309307,0.29861111111111116
cross_subject,CSP+linearSVM,1,288,0.5208333333333334,0.5208333333333334,0.3884409429433126,0.04166666666666663
cross_subject,CSP+linearSVM,2,288,0.5138888888888888,0.5138888888888888,0.44099378881987583,0.02777777777777779
cross_subject,CSP+linearSVM,3,288,0.6770833333333334,0.6770833333333334,0.6429894832251443,0.35416666666666663
cross_subject,CSP+linearSVM,4,288,0.5972222222222222,0.5972222222222222,0.5847048878723087,0.19444444444444442
cross_subject,CSP+linearSVM,5,288,0.5243055555555556,0.5243055555555556,0.4605635535868094,0.04861111111111116
cross_subject,CSP+linearSVM,6,288,0.5347222222222222,0.5347222222222222,0.4061672924232166,0.06944444444444442
cross_subject,CSP+linearSVM,7,288,0.5243055555555556,0.5243055555555556,0.39034904742038656,0.04861111111111116
cross_subject,CSP+linearSVM,8,288,0.9201388888888888,0.9201388888888888,0.9200222160510969,0.8402777777777778
cross_subject,CSP+linearSVM,9,288,0.6388888888888888,0.6388888888888888,0.6380335476386136,0.2777777777777778
