mode,model,subject,session,n_test,balanced_accuracy,accuracy,macro_f1,cohen_kappa
cross_subject,CSP+LDA,1,0train,144,0.513888888888889,0.5138888888888888,0.3743793445878848,0.02777777777777779
cross_subject,CSP+LDA,1,1test,144,0.5486111111111112,0.5486111111111112,0.44176060118089105,0.09722222222222221
cross_subject,CSP+LDA,2,0train,144,0.5,0.5,0.46257516068836824,0.0
cross_subject,CSP+LDA,2,1test,144,0.5555555555555556,0.5555555555555556,0.5142314990512333,0.11111111111111116
cross_subject,CSP+LDA,3,0train,144,0.5625,0.5625,0.45893719806763283,0.125
cross_subject,CSP+LDA,3,1test,144,0.7916666666666667,0.7916666666666666,0.7846460618145563,0.5833333333333333
cross_subject,CSP+LDA,4,0train,144,0.6319444444444444,0.6319444444444444,0.6205061906419372,0.26388888888888884
cross_subject,CSP+LDA,4,1test,144,0.6388888888888888,0.6388888888888888,0.6371389804225625,0.2777777777777778
cross_subject,CSP+LDA,5,0train,144,0.45833333333333337,0.4583333333333333,0.4370489174017642,-0.08333333333333326
cross_subject,CSP+LDA,5,1test,144,0.513888888888889,0.5138888888888888,0.3743793445878848,0.02777777777777779
cross_subject,CSP+LDA,6,0train,144,0.5277777777777778,0.5277777777777778,0.4021978021978022,0.05555555555555558
cross_subject,CSP+LDA,6,1test,144,0.5416666666666666,0.5416666666666666,0.4197802197802198,0.08333333333333337
cross_subject,CSP+LDA,7,0train,144,0.5625,0.5625,0.48777595844390487,0.125
cross_subject,CSP+LDA,7,1test,144,0.5763888888888888,0.5763888888888888,0.4837496326770496,0.1527777777777778
cross_subject,CSP+LDA,8,0train,144,0.8958333333333333,0.8958333333333334,0.8946906537955244,0.7916666666666666
cross_subject,CSP+LDA,8,1test,144,0.9513888888888888,0.9513888888888888,0.9513865444899927,0.9027777777777778
cross_subject,CSP+LDA,9,0train,144,0.7361111111111112,0.7361111111111112,0.7342657342657343,0.4722222222222222
cross_subject,CSP+LDA,9,1test,144,0.5625,0.5625,0.5619718989908744,0.125
cross_subject,CSP+linearSVM,1,0train,144,0.513888888888889,0.5138888888888888,0.3743793445878848,0.02777777777777779
cross_subject,CSP+linearSVM,1,1test,144,0.5277777777777778,0.5277777777777778,0.4021978021978022,0.05555555555555558
cross_subject,CSP+linearSVM,2,0train,144,0.5,0.5,0.4375,0.0
cross_subject,CSP+linearSVM,2,1test,144,0.5277777777777778,0.5277777777777778,0.44363636363636366,0.05555555555555558
cross_subject,CSP+linearSVM,3,0train,144,0.5625,0.5625,0.45893719806763283,0.125
cross_subject,CSP+linearSVM,3,1test,144,0.7916666666666667,0.7916666666666666,0.7846460618145563,0.5833333333333333
cross_subject,CSP+linearSVM,4,0train,144,0.5902777777777778,0.5902777777777778,0.5501667813840208,0.18055555555555558
cross_subject,CSP+linearSVM,4,1test,144,0.6041666666666667,0.6041666666666666,0.6032290810654033,0.20833333333333337
cross_subject,CSP+linearSVM,5,0train,144,0.5416666666666667,0.5416666666666666,0.5236567762630313,0.08333333333333337
cross_subject,CSP+linearSVM,5,1test,144,0.5069444444444444,0.5069444444444444,0.34858235106721885,0.01388888888888884
cross_subject,CSP+linearSVM,6,0train,144,0.5347222222222222,0.5347222222222222,0.4061672924232166,0.06944444444444442
cross_subject,CSP+linearSVM,6,1test,144,0.5347222222222222,0.5347222222222222,0.4061672924232166,0.06944444444444442
cross_subject,CSP+linearSVM,7,0train,144,0.513888888888889,0.5138888888888888,0.3743793445878848,0.02777777777777779
cross_subject,CSP+linearSVM,7,1test,144,0.5347222222222222,0.5347222222222222,0.4061672924232166,0.06944444444444442
cross_subject,CSP+linearSVM,8,0train,144,0.8958333333333334,0.8958333333333334,0.8949773909661107,0.7916666666666666
cross_subject,CSP+linearSVM,8,1test,144,0.9444444444444444,0.9444444444444444,0.9444337256415203,0.8888888888888888
cross_subject,CSP+linearSVM,9,0train,144,0.7222222222222223,0.7222222222222222,0.71875,0.4444444444444444
cross_subject,CSP+linearSVM,9,1test,144,0.5555555555555556,0.5555555555555556,0.5554698051321629,0.11111111111111116
