mode,fold_id,model,n_train,n_test,fit_predict_seconds,balanced_accuracy,accuracy,macro_f1,cohen_kappa
cross_subject,loso_s1,CSP+LDA,2304,288,3.3700145999900997,0.53125,0.53125,0.4089658422388763,0.0625
cross_subject,loso_s1,CSP+linearSVM,2304,288,3.0389365000010002,0.5208333333333334,0.5208333333333334,0.3884409429433126,0.04166666666666663
cross_subject,loso_s2,CSP+LDA,2304,288,2.825325800004066,0.5277777777777778,0.5277777777777778,0.4882943143812709,0.05555555555555558
cross_subject,loso_s2,CSP+linearSVM,2304,288,2.921845499993651,0.5138888888888888,0.5138888888888888,0.44099378881987583,0.02777777777777779
cross_subject,loso_s3,CSP+LDA,2304,288,2.838986399990972,0.6770833333333334,0.6770833333333334,0.6429894832251443,0.35416666666666663
cross_subject,loso_s3,CSP+linearSVM,2304,288,2.9558165000053123,0.6770833333333334,0.6770833333333334,0.6429894832251443,0.35416666666666663
cross_subject,loso_s4,CSP+LDA,2304,288,2.806237800003146,0.6354166666666667,0.6354166666666666,0.6344249809596345,0.27083333333333337
cross_subject,loso_s4,CSP+linearSVM,2304,288,2.8354510000062874,0.5972222222222222,0.5972222222222222,0.5847048878723087,0.19444444444444442
cross_subject,loso_s5,CSP+LDA,2304,288,2.813941000000341,0.4861111111111111,0.4861111111111111,0.4760031471282455,-0.02777777777777768
cross_subject,loso_s5,CSP+linearSVM,2304,288,2.945300599996699,0.5243055555555556,0.5243055555555556,0.4605635535868094,0.04861111111111116
cross_subject,loso_s6,CSP+LDA,2304,288,2.840446600006544,0.5347222222222222,0.5347222222222222,0.41098901098901097,0.06944444444444442
cross_subject,loso_s6,CSP+linearSVM,2304,288,3.1286063000006834,0.5347222222222222,0.5347222222222222,0.4061672924232166,0.06944444444444442
cross_subject,loso_s7,CSP+LDA,2304,288,2.873952100009774,0.5694444444444444,0.5694444444444444,0.48606953718627677,0.13888888888888884
cross_subject,loso_s7,CSP+linearSVM,2304,288,2.8108914000040386,0.5243055555555556,0.5243055555555556,0.39034904742038656,0.04861111111111116
cross_subject,loso_s8,CSP+LDA,2304,288,2.8121609999943757,0.9236111111111112,0.9236111111111112,0.923374613003096,0.8472222222222222
cross_subject,loso_s8,CSP+linearSVM,2304,288,2.835175899992464,0.9201388888888888,0.9201388888888888,0.9200222160510969,0.8402777777777778
cross_subject,loso_s9,CSP+LDA,2304,288,2.806643799995072,0.6493055555555556,0.6493055555555556,0.6490982568309307,0.29861111111111116
cross_subject,loso_s9,CSP+linearSVM,2304,288,2.8459857999987435,0.6388888888888888,0.6388888888888888,0.6380335476386136,0.2777777777777778
