fold,subject,selected_epochs,selection_rule,selected_mean_rank,selection_seed,target_result_used
loso_s1,1,7,mean_rank,6.0,20260923,False
loso_s2,2,8,mean_rank,7.25,20260923,False
loso_s3,3,5,mean_rank,5.25,20260923,False
loso_s4,4,6,mean_rank,10.75,20260923,False
loso_s5,5,15,mean_rank,9.25,20260923,False
loso_s6,6,10,mean_rank,7.25,20260923,False
loso_s7,7,6,mean_rank,11.5,20260923,False
loso_s8,8,7,mean_rank,11.75,20260923,False
loso_s9,9,8,mean_rank,8.25,20260923,False
