subject,Q5_BA,Q5_BA_seed_std,Q5_F1,Q5_kappa,Q8_BA,Q8_BA_seed_std,Q8_F1,Q8_kappa,delta_BA,delta_BA_pp,delta_F1,delta_kappa,Q5_meanCE_epoch,Q8_meanRank_epoch,epoch_delta
1,0.5700231481481481,0.03403545359382554,0.5333684599315077,0.42669753086419754,0.5700231481481481,0.03403545359382554,0.5333684599315077,0.42669753086419754,0.0,0.0,0.0,0.0,27,27,0
2,0.24479166666666663,0.006259637631013894,0.132026839243798,-0.006944444444444466,0.27835648148148145,0.018070017356476828,0.20354047994252497,0.03780864197530853,0.033564814814814825,3.3564814814814827,0.07151364069872698,0.044753086419753,1,13,12
3,0.2609953703703704,0.01603750747748962,0.12540978657455878,0.0146604938271604,0.6087962962962962,0.0115595974279156,0.6072309053760389,0.478395061728395,0.34780092592592576,34.780092592592574,0.48182111880148004,0.46373456790123463,2,10,8
4,0.36921296296296297,0.017128065494153584,0.3092780985358794,0.1589506172839506,0.36921296296296297,0.017128065494153584,0.3092780985358794,0.1589506172839506,0.0,0.0,0.0,0.0,10,10,0
5,0.24131944444444442,0.0069444444444444475,0.11901667116463528,-0.011574074074074034,0.2505787037037037,0.0036140034712953545,0.15273669203579796,0.0007716049382716,0.0092592592592593,0.92592592592593,0.03372002087116267,0.012345679012345633,13,17,4
6,0.2835648148148148,0.024077134331845718,0.24781635561455148,0.0447530864197531,0.2853009259259259,0.023119194855831214,0.246850155569182,0.04706790123456783,0.0017361111111110494,0.17361111111110494,-0.0009662000453694863,0.002314814814814735,7,15,8
7,0.28472222222222227,0.007955860581520556,0.23468492432766816,0.04629629629629627,0.3032407407407407,0.017562489473950782,0.26307682592719545,0.07098765432098764,0.018518518518518434,1.8518518518518434,0.028391901599527286,0.024691358024691364,6,16,10
8,0.296875,0.02112070323020217,0.2419394118786423,0.0625,0.6545138888888888,0.05228548731380412,0.6511760464588736,0.5393518518518517,0.35763888888888884,35.763888888888886,0.4092366345802313,0.47685185185185175,1,23,22
9,0.48321759259259256,0.020271157277936297,0.4547910260380656,0.31095679012345684,0.5202546296296297,0.020271157277936373,0.5060677132036359,0.36033950617283955,0.03703703703703709,3.703703703703709,0.05127668716557027,0.04938271604938271,7,9,2
