subject,seed,metric,recomputed,saved
1,20260924,balanced_accuracy,0.5381944444444444,0.5381944444444444
1,20260924,macro_f1,0.48362467432995515,0.4836246743299551
1,20260924,cohen_kappa,0.3842592592592593,0.3842592592592593
1,20260925,balanced_accuracy,0.5659722222222222,0.5659722222222222
1,20260925,macro_f1,0.5491124860466792,0.5491124860466792
1,20260925,cohen_kappa,0.4212962962962963,0.4212962962962963
1,20260926,balanced_accuracy,0.6059027777777778,0.6059027777777778
1,20260926,macro_f1,0.5673682194178891,0.5673682194178891
1,20260926,cohen_kappa,0.4745370370370371,0.4745370370370371
2,20260924,balanced_accuracy,0.2725694444444445,0.2725694444444445
2,20260924,macro_f1,0.17547398075745826,0.1754739807574582
2,20260924,cohen_kappa,0.03009259259259256,0.0300925925925925
2,20260925,balanced_accuracy,0.2638888888888889,0.2638888888888889
2,20260925,macro_f1,0.19451387221333805,0.194513872213338
2,20260925,cohen_kappa,0.01851851851851849,0.0185185185185184
2,20260926,balanced_accuracy,0.2986111111111111,0.2986111111111111
2,20260926,macro_f1,0.24063358685677877,0.2406335868567787
2,20260926,cohen_kappa,0.06481481481481477,0.0648148148148147
3,20260924,balanced_accuracy,0.6215277777777777,0.6215277777777777
3,20260924,macro_f1,0.6289731735003485,0.6289731735003485
3,20260924,cohen_kappa,0.49537037037037035,0.4953703703703703
3,20260925,balanced_accuracy,0.5989583333333333,0.5989583333333333
3,20260925,macro_f1,0.589772215838833,0.589772215838833
3,20260925,cohen_kappa,0.4652777777777778,0.4652777777777778
3,20260926,balanced_accuracy,0.6059027777777777,0.6059027777777777
3,20260926,macro_f1,0.6029473267889349,0.6029473267889349
3,20260926,cohen_kappa,0.4745370370370371,0.4745370370370371
4,20260924,balanced_accuracy,0.36111111111111116,0.3611111111111111
4,20260924,macro_f1,0.31074944490650874,0.3107494449065087
4,20260924,cohen_kappa,0.14814814814814814,0.1481481481481481
4,20260925,balanced_accuracy,0.3576388888888889,0.3576388888888889
4,20260925,macro_f1,0.2860416832175012,0.2860416832175012
4,20260925,cohen_kappa,0.1435185185185185,0.1435185185185185
4,20260926,balanced_accuracy,0.38888888888888884,0.3888888888888888
4,20260926,macro_f1,0.33104316748362844,0.3310431674836284
4,20260926,cohen_kappa,0.18518518518518523,0.1851851851851852
5,20260924,balanced_accuracy,0.2465277777777778,0.2465277777777778
5,20260924,macro_f1,0.1633526107529262,0.1633526107529262
5,20260924,cohen_kappa,-0.004629629629629539,-0.0046296296296295
5,20260925,balanced_accuracy,0.2534722222222222,0.2534722222222222
5,20260925,macro_f1,0.1684149184149184,0.1684149184149184
5,20260925,cohen_kappa,0.00462962962962965,0.0046296296296296
5,20260926,balanced_accuracy,0.2517361111111111,0.2517361111111111
5,20260926,macro_f1,0.1264425469395493,0.1264425469395493
5,20260926,cohen_kappa,0.0023148148148147696,0.0023148148148147
6,20260924,balanced_accuracy,0.265625,0.265625
6,20260924,macro_f1,0.23334998425553927,0.2333499842555392
6,20260924,cohen_kappa,0.02083333333333337,0.0208333333333333
6,20260925,balanced_accuracy,0.27951388888888884,0.2795138888888888
6,20260925,macro_f1,0.2116764194614259,0.2116764194614259
6,20260925,cohen_kappa,0.03935185185185186,0.0393518518518518
6,20260926,balanced_accuracy,0.3107638888888889,0.3107638888888889
6,20260926,macro_f1,0.29552406299058087,0.2955240629905808
6,20260926,cohen_kappa,0.08101851851851849,0.0810185185185184
7,20260924,balanced_accuracy,0.2829861111111111,0.2829861111111111
7,20260924,macro_f1,0.21009125740855042,0.2100912574085504
7,20260924,cohen_kappa,0.04398148148148151,0.0439814814814815
7,20260925,balanced_accuracy,0.3125,0.3125
7,20260925,macro_f1,0.29783110541107494,0.2978311054110749
7,20260925,cohen_kappa,0.08333333333333337,0.0833333333333333
7,20260926,balanced_accuracy,0.31423611111111105,0.314236111111111
7,20260926,macro_f1,0.2813081149619611,0.2813081149619611
7,20260926,cohen_kappa,0.08564814814814814,0.0856481481481481
8,20260924,balanced_accuracy,0.609375,0.609375
8,20260924,macro_f1,0.6014493621494321,0.6014493621494321
8,20260924,cohen_kappa,0.47916666666666663,0.4791666666666666
8,20260925,balanced_accuracy,0.642361111111111,0.642361111111111
8,20260925,macro_f1,0.6395793977895422,0.6395793977895422
8,20260925,cohen_kappa,0.5231481481481481,0.5231481481481481
8,20260926,balanced_accuracy,0.7118055555555556,0.7118055555555556
8,20260926,macro_f1,0.7124993794376466,0.7124993794376466
8,20260926,cohen_kappa,0.6157407407407407,0.6157407407407407
9,20260924,balanced_accuracy,0.5381944444444445,0.5381944444444445
9,20260924,macro_f1,0.5372289855659534,0.5372289855659534
9,20260924,cohen_kappa,0.3842592592592593,0.3842592592592593
9,20260925,balanced_accuracy,0.5243055555555556,0.5243055555555556
9,20260925,macro_f1,0.5083428025657414,0.5083428025657414
9,20260925,cohen_kappa,0.3657407407407407,0.3657407407407407
9,20260926,balanced_accuracy,0.49826388888888884,0.4982638888888888
9,20260926,macro_f1,0.47263135147921276,0.4726313514792127
9,20260926,cohen_kappa,0.3310185185185185,0.3310185185185185
