fold,stage,inner_fold,seed,subject,role,n_trials,n_used_for_fit,n_excluded_from_fit,n_used_for_validation,epochs_trained
loso_s4,full,,20260926,1,train,576,576,0,0,6
loso_s4,full,,20260926,2,train,576,576,0,0,6
loso_s4,full,,20260926,3,train,576,576,0,0,6
loso_s4,full,,20260926,4,test,576,0,0,0,6
loso_s4,full,,20260926,5,train,576,576,0,0,6
loso_s4,full,,20260926,6,train,576,576,0,0,6
loso_s4,full,,20260926,7,train,576,576,0,0,6
loso_s4,full,,20260926,8,train,576,576,0,0,6
loso_s4,full,,20260926,9,train,576,576,0,0,6
