fold,stage,inner_fold,seed,subject,role,n_trials,n_used_for_fit,n_excluded_from_fit,n_used_for_validation,epochs_trained
loso_s4,full,,20260925,1,train,576,554,22,0,9
loso_s4,full,,20260925,2,train,576,553,23,0,9
loso_s4,full,,20260925,3,train,576,543,33,0,9
loso_s4,full,,20260925,4,test,576,0,0,0,9
loso_s4,full,,20260925,5,train,576,538,38,0,9
loso_s4,full,,20260925,6,train,576,434,142,0,9
loso_s4,full,,20260925,7,train,576,548,28,0,9
loso_s4,full,,20260925,8,train,576,535,41,0,9
loso_s4,full,,20260925,9,train,576,501,75,0,9
