fold,selected_epochs,validation_ce
loso_s1,27,1.3699463829398155
loso_s2,1,1.3860809852679572
loso_s3,16,1.3858868189983895
loso_s4,10,1.29669575062063
loso_s5,12,1.2870785709884431
loso_s6,7,1.347365361948808
loso_s7,6,1.3167528948850102
loso_s8,1,1.3862125989463594
loso_s9,7,1.3325159524877863
