fold,subject,seed,model,stratum,n_train,n_test,n_classes_present,balanced_accuracy,accuracy,macro_f1,macro_precision,macro_recall,cohen_kappa
loso_s1,1,20260924,EEGNet,all,4608,576,4,0.517361111111111,0.5173611111111112,0.4567267552244689,0.5537064146925739,0.517361111111111,0.3564814814814815
loso_s1,1,20260924,EEGNet,unflagged,4608,554,4,0.5224715988192354,0.5234657039711191,0.4603669036097287,0.5472816584915757,0.5224715988192354,0.3641568739973653
loso_s1,1,20260924,EEGNet,flagged,4608,22,4,0.3863095238095238,0.3636363636363636,0.34375,0.5446428571428572,0.3863095238095238,0.1698113207547169
loso_s1,1,20260925,EEGNet,all,4608,576,4,0.5850694444444444,0.5850694444444444,0.5622086086192514,0.5934971270534602,0.5850694444444444,0.4467592592592593
loso_s1,1,20260925,EEGNet,unflagged,4608,554,4,0.594421042483237,0.5956678700361011,0.5715465516287809,0.603071353912748,0.594421042483237,0.4605319213681456
loso_s1,1,20260925,EEGNet,flagged,4608,22,4,0.3648809523809523,0.3181818181818182,0.3222222222222222,0.3681818181818181,0.3648809523809523,0.1129032258064516
loso_s1,1,20260926,EEGNet,all,4608,576,4,0.6041666666666666,0.6041666666666666,0.561940441533039,0.6314736300247127,0.6041666666666666,0.4722222222222222
loso_s1,1,20260926,EEGNet,unflagged,4608,554,4,0.6088853095788772,0.6101083032490975,0.566973939142508,0.6343230713337966,0.6088853095788772,0.4797760233714743
loso_s1,1,20260926,EEGNet,flagged,4608,22,4,0.5005952380952381,0.4545454545454545,0.4368131868131868,0.5761904761904761,0.5005952380952381,0.2903225806451613
loso_s2,2,20260924,EEGNet,all,4608,576,4,0.2413194444444444,0.2413194444444444,0.1087530638312562,0.1063751230718739,0.2413194444444444,-0.0115740740740741
loso_s2,2,20260924,EEGNet,unflagged,4608,553,4,0.2426501035196687,0.2423146473779385,0.1094372856215815,0.1087092731829574,0.2426501035196687,-0.0098233625186856
loso_s2,2,20260924,EEGNet,flagged,4608,23,4,0.2083333333333333,0.217391304347826,0.0892857142857142,0.0568181818181818,0.2083333333333333,-0.0534351145038167
loso_s2,2,20260925,EEGNet,all,4608,576,4,0.25,0.25,0.100418410041841,0.06282722513089,0.25,0.0
loso_s2,2,20260925,EEGNet,unflagged,4608,553,4,0.25,0.2495479204339963,0.1002906976744186,0.0627272727272727,0.25,-2.614504398890105e-05
loso_s2,2,20260925,EEGNet,flagged,4608,23,4,0.25,0.2608695652173913,0.1034482758620689,0.0652173913043478,0.25,0.0
loso_s2,2,20260926,EEGNet,all,4608,576,4,0.25,0.25,0.1,0.0625,0.25,0.0
