condition,subject,mean_ba,seed_sd_ba,mean_dominant_class_share,zero_recall_seed_count
BROAD_CAPACITY_MATCHED,1,0.5613425925925927,0.040949165672070624,0.40740740740740744,0
BROAD_CAPACITY_MATCHED,2,0.29976851851851855,0.007228006942590744,0.6516203703703703,1
BROAD_CAPACITY_MATCHED,3,0.5682870370370371,0.03808908025903785,0.4982638888888889,0
BROAD_CAPACITY_MATCHED,4,0.347800925925926,0.0434143503090533,0.5983796296296297,0
BROAD_CAPACITY_MATCHED,5,0.25289351851851855,0.016131203547183278,0.6921296296296297,3
BROAD_CAPACITY_MATCHED,6,0.31365740740740744,0.029581893331324178,0.5162037037037037,0
BROAD_CAPACITY_MATCHED,7,0.31886574074074076,0.033857876102569635,0.6238425925925926,0
BROAD_CAPACITY_MATCHED,8,0.6087962962962963,0.039373121974939904,0.44039351851851855,0
BROAD_CAPACITY_MATCHED,9,0.5260416666666666,0.023356986192836274,0.4021990740740741,0
FOUR_BAND_SHARED,1,0.5202546296296297,0.03576276517472306,0.41608796296296297,0
FOUR_BAND_SHARED,2,0.29398148148148145,0.024938034058350975,0.6180555555555555,1
FOUR_BAND_SHARED,3,0.5023148148148148,0.03478004444749238,0.5966435185185185,0
FOUR_BAND_SHARED,4,0.3483796296296296,0.02875522742778901,0.6429398148148148,1
FOUR_BAND_SHARED,5,0.25810185185185186,0.0072280069425907445,0.8917824074074074,3
FOUR_BAND_SHARED,6,0.29108796296296297,0.019123508844743405,0.7077546296296297,1
FOUR_BAND_SHARED,7,0.32407407407407407,0.02611871318610362,0.6961805555555555,1
FOUR_BAND_SHARED,8,0.5439814814814815,0.03403545359382541,0.43634259259259256,0
FOUR_BAND_SHARED,9,0.5,0.00520833333333337,0.4103009259259259,0
TWO_BAND_EARLY_STACK,1,0.578125,0.02961583699519445,0.40914351851851855,0
TWO_BAND_EARLY_STACK,2,0.2945601851851851,0.02469512533952761,0.6365740740740741,0
TWO_BAND_EARLY_STACK,3,0.6024305555555555,0.03312288893808837,0.4739583333333333,0
TWO_BAND_EARLY_STACK,4,0.3234953703703704,0.060048701192596074,0.5526620370370371,0
TWO_BAND_EARLY_STACK,5,0.25347222222222227,0.01837327299350409,0.8576388888888888,3
TWO_BAND_EARLY_STACK,6,0.2806712962962963,0.005580816412611647,0.5677083333333334,0
TWO_BAND_EARLY_STACK,7,0.30150462962962965,0.0265763020907524,0.5810185185185185,0
TWO_BAND_EARLY_STACK,8,0.6076388888888888,0.06832871060470287,0.4600694444444444,0
TWO_BAND_EARLY_STACK,9,0.5972222222222222,0.02112070323020217,0.31886574074074076,0
TWO_BAND_INDEPENDENT,1,0.5925925925925926,0.03150615182596354,0.4398148148148148,0
TWO_BAND_INDEPENDENT,2,0.29282407407407407,0.02432621476502743,0.6342592592592593,1
TWO_BAND_INDEPENDENT,3,0.6533564814814815,0.04518338262949802,0.3645833333333333,0
TWO_BAND_INDEPENDENT,4,0.3287037037037037,0.02311919485583124,0.7071759259259259,0
TWO_BAND_INDEPENDENT,5,0.2476851851851852,0.002651953527173506,0.7743055555555557,3
TWO_BAND_INDEPENDENT,6,0.27546296296296297,0.0026519535271735395,0.6400462962962963,0
TWO_BAND_INDEPENDENT,7,0.28125,0.06142988198942404,0.44675925925925924,2
TWO_BAND_INDEPENDENT,8,0.6035879629629629,0.05449656188422942,0.464699074074074,0
TWO_BAND_INDEPENDENT,9,0.59375,0.009666257574357661,0.35648148148148145,0
