condition,equal_subject_mean_ba,between_subject_sd_ba,median_subject_ba,min_subject_ba,max_subject_ba,mean_within_subject_seed_sd_ba,n_subjects,mean_recall_class_1,mean_recall_class_2,mean_recall_class_3,mean_recall_class_4
BROAD_CAPACITY_MATCHED,0.42193930041152267,0.1405131574838397,0.347800925925926,0.25289351851851855,0.6087962962962963,0.0302201871479562,9,0.4747942386831276,0.518775720164609,0.319701646090535,0.3744855967078189
FOUR_BAND_SHARED,0.39801954732510286,0.11580755369661205,0.3483796296296296,0.25810185185185186,0.5439814814814815,0.023994454112105774,9,0.3487654320987654,0.5167181069958848,0.32536008230452673,0.4012345679012346
TWO_BAND_EARLY_STACK,0.42656893004115226,0.1623058710615838,0.3234953703703704,0.25347222222222227,0.6076388888888888,0.031940261977464406,9,0.5270061728395061,0.492798353909465,0.3068415637860082,0.37962962962962965
TWO_BAND_INDEPENDENT,0.4299125514403292,0.1737801656764491,0.3287037037037037,0.2476851851851852,0.6533564814814815,0.028336839175408707,9,0.49202674897119336,0.48122427983539096,0.4256687242798354,0.3207304526748971
