condition,subject,seed,artifact_flagged,n_trials,n_true_classes,balanced_accuracy_present_classes
TWO_BAND_INDEPENDENT,4,20260926,True,86,4,0.3375
TWO_BAND_INDEPENDENT,5,20260924,False,538,4,0.24565229868564542
TWO_BAND_INDEPENDENT,5,20260924,True,38,4,0.27797202797202797
TWO_BAND_INDEPENDENT,5,20260925,False,538,4,0.24918211559432935
TWO_BAND_INDEPENDENT,5,20260925,True,38,4,0.19755244755244755
TWO_BAND_INDEPENDENT,5,20260926,False,538,4,0.2517255011075648
TWO_BAND_INDEPENDENT,5,20260926,True,38,4,0.23426573426573427
TWO_BAND_INDEPENDENT,6,20260924,False,434,4,0.2898382363828387
TWO_BAND_INDEPENDENT,6,20260924,True,142,4,0.23866250768600125
TWO_BAND_INDEPENDENT,6,20260925,False,434,4,0.28259615039810104
TWO_BAND_INDEPENDENT,6,20260925,True,142,4,0.23703147417503587
TWO_BAND_INDEPENDENT,6,20260926,False,434,4,0.27750284058375047
TWO_BAND_INDEPENDENT,6,20260926,True,142,4,0.270240443738471
TWO_BAND_INDEPENDENT,7,20260924,False,548,4,0.22580515297906603
TWO_BAND_INDEPENDENT,7,20260924,True,28,4,0.20833333333333331
TWO_BAND_INDEPENDENT,7,20260925,False,548,4,0.34202369618110656
TWO_BAND_INDEPENDENT,7,20260925,True,28,4,0.42658730158730157
TWO_BAND_INDEPENDENT,7,20260926,False,548,4,0.272061191626409
TWO_BAND_INDEPENDENT,7,20260926,True,28,4,0.2361111111111111
TWO_BAND_INDEPENDENT,8,20260924,False,535,4,0.669753290161312
TWO_BAND_INDEPENDENT,8,20260924,True,41,4,0.609280303030303
TWO_BAND_INDEPENDENT,8,20260925,False,535,4,0.5865628958860556
TWO_BAND_INDEPENDENT,8,20260925,True,41,4,0.5744318181818182
TWO_BAND_INDEPENDENT,8,20260926,False,535,4,0.5624377759387694
TWO_BAND_INDEPENDENT,8,20260926,True,41,4,0.5611742424242424
TWO_BAND_INDEPENDENT,9,20260924,False,501,4,0.6144293309973925
TWO_BAND_INDEPENDENT,9,20260924,True,75,4,0.5521255060728745
TWO_BAND_INDEPENDENT,9,20260925,False,501,4,0.5942427680899609
TWO_BAND_INDEPENDENT,9,20260925,True,75,4,0.5879934210526316
TWO_BAND_INDEPENDENT,9,20260926,False,501,4,0.5866115547588004
TWO_BAND_INDEPENDENT,9,20260926,True,75,4,0.6078658183921342
TWO_BAND_EARLY_STACK,1,20260924,False,554,4,0.6108264610146221
TWO_BAND_EARLY_STACK,1,20260924,True,22,4,0.4148809523809524
TWO_BAND_EARLY_STACK,1,20260925,False,554,4,0.5489579157728358
TWO_BAND_EARLY_STACK,1,20260925,True,22,4,0.469047619047619
TWO_BAND_EARLY_STACK,1,20260926,False,554,4,0.5886322406009544
TWO_BAND_EARLY_STACK,1,20260926,True,22,4,0.5398809523809524
TWO_BAND_EARLY_STACK,2,20260924,False,553,4,0.28431101909362777
TWO_BAND_EARLY_STACK,2,20260924,True,23,4,0.27083333333333337
TWO_BAND_EARLY_STACK,2,20260925,False,553,4,0.2709138486312399
TWO_BAND_EARLY_STACK,2,20260925,True,23,4,0.5
TWO_BAND_EARLY_STACK,2,20260926,False,553,4,0.31877444214400735
TWO_BAND_EARLY_STACK,2,20260926,True,23,4,0.40277777777777773
TWO_BAND_EARLY_STACK,3,20260924,False,543,4,0.6039110270613401
TWO_BAND_EARLY_STACK,3,20260924,True,33,4,0.642361111111111
TWO_BAND_EARLY_STACK,3,20260925,False,543,4,0.570639485154506
TWO_BAND_EARLY_STACK,3,20260925,True,33,4,0.5208333333333333
TWO_BAND_EARLY_STACK,3,20260926,False,543,4,0.6384930544068518
TWO_BAND_EARLY_STACK,3,20260926,True,33,4,0.5645833333333333
TWO_BAND_EARLY_STACK,4,20260924,False,490,4,0.25469465534369795
TWO_BAND_EARLY_STACK,4,20260924,True,86,4,0.2644444444444445
TWO_BAND_EARLY_STACK,4,20260925,False,490,4,0.35680927040682087
TWO_BAND_EARLY_STACK,4,20260925,True,86,4,0.2995531400966184
TWO_BAND_EARLY_STACK,4,20260926,False,490,4,0.3672557532743836
TWO_BAND_EARLY_STACK,4,20260926,True,86,4,0.381292270531401
