epoch,train_ce,val_ce
1,1.3812515846005193,1.3850737280315824
2,1.344677953808396,1.3838608066240947
3,1.3167983403912298,1.378157205051846
4,1.2705215811729431,1.3853615389929876
5,1.2437236971325345,1.3420468899938796
6,1.212660535618111,1.2945683598518372
7,1.2064204370533977,1.2632925377951727
8,1.17984124245467,1.2420205076535542
9,1.1688768554616857,1.2318125632074144
10,1.150910989001945,1.2198395596610174
11,1.138755855736909,1.285063859489229
12,1.1108797038042988,1.2255035241444905
13,1.1026938094033136,1.215896013710234
14,1.090868890285492,1.2133911848068237
15,1.0835439949123948,1.243130710389879
16,1.0801983188699793,1.2379554278320737
17,1.06784376722795,1.236646960179011
18,1.061665717098448,1.28326615691185
19,1.0586787992053561,1.2304743064774408
20,1.0587013363838196,1.3188925120565627
21,1.0553277201122708,1.2740380730893877
22,1.0503644490683521,1.2540995611084833
23,1.0403398043579526,1.2113447056876288
24,1.0415813944957875,1.2368488709131877
25,1.0373955887776833,1.2636104888386197
26,1.0365030169487,1.29733896917767
27,1.0245405269993677,1.2487157020303938
28,1.0247470526783555,1.27671394083235
29,1.028460865771329,1.2928363747066922
30,1.0185341548036646,1.3007164663738675
31,1.0202017967347745,1.2314355472723644
32,1.0161235398716397,1.2229968077606626
33,1.0154622936690296,1.2316752937104967
34,1.0170690693237163,1.2833849456575182
35,1.0162755957356207,1.2576645347807143
36,1.0096024440394507,1.2454280886385176
37,1.0074245002534654,1.2353588773144617
38,1.000822455794723,1.2603484127256606
39,0.9910792001971492,1.2440741393301222
40,0.9912750709939886,1.2788664764828153
