fold,subject,seed,model,stratum,n_train,n_test,n_classes_present,balanced_accuracy,accuracy,macro_f1,macro_precision,macro_recall,cohen_kappa
loso_s5,5,20260924,EEGNet,all,4608,576,4,0.24131944444444445,0.24131944444444445,0.1256244204480871,0.11301757422447078,0.24131944444444445,-0.011574074074074181
loso_s5,5,20260924,EEGNet,unflagged,4608,538,4,0.23903747919416862,0.23605947955390336,0.12372573662896244,0.11004140786749483,0.23903747919416862,-0.014302752293577914
loso_s5,5,20260924,EEGNet,flagged,4608,38,4,0.2692307692307692,0.3157894736842105,0.15081521739130435,0.16190476190476188,0.2692307692307692,0.03137254901960784
